,index,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
107,709,DAX0BKN0A,04/29/2016 12:00:00 AM,WINCHELL'S DONUT #9890,98,A,1,ROUTINE INSPECTION,EE0000799,1931 E FLORENCE AVE,LOS ANGELES,FA0165123,CA,90001,OW0040037,YUM YUM DONUT SHOPS INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WINCHELL'S DONUT,ACTIVE,PR0153434,"['Donuts', 'Coffee & Tea', 'Sandwiches']",False,33.9748549,-118.238347,$,2.5,13,ByGvkWeRaM_uWWcxGtJbqw
108,710,DA0L2URJI,04/29/2016 12:00:00 AM,PHO BROADWAY,92,A,1,ROUTINE INSPECTION,EE0000740,942 N BROADWAY STE #102,LOS ANGELES,FA0043836,CA,90012,OW0035381,THAI MUOI,RESTAURANT (31-60) SEATS HIGH RISK,1635,PHO BROADWAY,ACTIVE,PR0024705,"['Vietnamese', 'Noodles']",False,34.06496,-118.23655,$,4.0,263,5e1GFapCDQYGqkDxlFtMnw
109,711,DAAOKFIZQ,04/29/2016 12:00:00 AM,CJ SPA RESTAURANT,87,B,1,ROUTINE INSPECTION,EE0000723,620 S UNION AVE,LOS ANGELES,FA0174149,CA,90017,OW0178814,"CJ SPA GROUP, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,CJ SPA RESTAURANT,ACTIVE,PR0167018,"['Day Spas', 'Massage', 'Skin Care']",False,34.0560864465747,-118.269035971689,$$,4.0,964,R_FOybCX6e3GilPvoS89Lw
110,712,DAW4TFVGU,04/29/2016 12:00:00 AM,LA PLAYITA,90,A,1,ROUTINE INSPECTION,EE0000740,2200 N BROADWAY,LOS ANGELES,FA0065276,CA,90031,OW0009977,DIAZ SERGIO,RESTAURANT (31-60) SEATS HIGH RISK,1635,LA PLAYITA,ACTIVE,PR0044395,"['Mexican', 'Seafood']",False,34.07335,-118.21748,$,3.5,73,ZL16kfZyZ4auY1Ec0UyaKQ
111,713,DAS90R9NX,04/29/2016 12:00:00 AM,TINA'S TACOS,99,A,1,ROUTINE INSPECTION,EE0000246,135 N GRAND AVE,LOS ANGELES,FA0011954,CA,90012,OW0029347,RA MUSIC INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TINA'S TACOS,ACTIVE,PR0043458,"['Food Stands', 'Mexican']",True,34.0579547,-118.2480112,$,3.0,42,lD4-OTlHi0pmzNgQzT6HRg
112,2212,DA5HZ6ZO9,04/01/2016 12:00:00 AM,TINA'S TACOS,98,A,1,ROUTINE INSPECTION,EE0000246,135 N GRAND AVE,LOS ANGELES,FA0011954,CA,90012,OW0029347,RA MUSIC INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TINA'S TACOS,ACTIVE,PR0043458,"['Food Stands', 'Mexican']",True,34.0579547,-118.2480112,$,3.0,42,lD4-OTlHi0pmzNgQzT6HRg
113,2230,DASYUIYRN,04/01/2016 12:00:00 AM,BANQUET KITCHEN,97,A,1,ROUTINE INSPECTION,EE0000246,135 N GRAND AVE,LOS ANGELES,FA0004876,CA,90012,OW0029347,RA MUSIC INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,"BANQUET KITCHEN, 5TH FL",ACTIVE,PR0006869,"['Food Stands', 'Mexican']",True,34.0579547,-118.2480112,$,3.0,42,lD4-OTlHi0pmzNgQzT6HRg
114,2235,DAN0QQ05X,04/01/2016 12:00:00 AM,IMPRESSARIO RISTORANTE & BAR,98,A,1,ROUTINE INSPECTION,EE0000246,135 N GRAND AVE,LOS ANGELES,FA0029252,CA,90012,OW0029347,RA MUSIC INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,"IMPRESSARIO RISTORANTE, 5TH FL",ACTIVE,PR0025656,"['Food Stands', 'Mexican']",True,34.0579547,-118.2480112,$,3.0,42,lD4-OTlHi0pmzNgQzT6HRg
115,714,DAOSJZ1ZB,04/29/2016 12:00:00 AM,BLVD. CAFE,92,A,1,ROUTINE INSPECTION,EE0001049,4555 E WHITTIER BLVD,LOS ANGELES,FA0010254,CA,90022,OW0023829,MAYA JOSE LUIS,RESTAURANT (31-60) SEATS HIGH RISK,1635,BLVD. CAFE,ACTIVE,PR0022853,['Mexican'],False,34.023138,-118.169219,$,4.5,54,Zqp4_CjfBacsAO_1v3_ilg
116,715,DAHS10VB9,04/29/2016 12:00:00 AM,SHIN RAMEN,90,A,1,ROUTINE INSPECTION,EE0000835,1655 N LA BREA AVE,LOS ANGELES,FA0165154,CA,90028,OW0128435,"SLICK WILLY, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,SHIN RAMEN,ACTIVE,PR0153468,"['Ramen', 'Sushi Bars']",False,34.1012994,-118.3452844,$$,4.0,529,VhKyyEcOll0rrOLAbZio3Q
117,716,DAUP2ELRY,04/29/2016 12:00:00 AM,YOSHINOYA #1226,93,A,1,ROUTINE INSPECTION,EE0000740,2500 N PASADENA AVE,LOS ANGELES,FA0074322,CA,90031,OW0101581,"YOSHINOYA AMERICA, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,YOSHINOYA BEEF BOWL,ACTIVE,PR0020916,['Japanese'],False,34.07615,-118.21604,$,2.5,55,m9XTYr5jibyrMRPFZvTQag
118,717,DAYDYNZKT,04/29/2016 12:00:00 AM,DOMINO'S PIZZA #8432,98,A,1,ROUTINE INSPECTION,EE0000799,2025 E FLORENCE AVE,LOS ANGELES,FA0019510,CA,90001,OW0036039,TND PIZZA INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOMINO'S PIZZA #8432,ACTIVE,PR0006830,"['Pizza', 'Chicken Wings', 'Sandwiches']",False,33.9748649,-118.2353248,$$,1.5,52,56xgAoxKXZ_q-PGOclb0rw
119,719,DAYU5XB7P,04/29/2016 12:00:00 AM,MARTITA'S MEXICAN RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000740,2657 PASADENA AVE,LOS ANGELES,FA0038046,CA,90031,OW0032230,SEPULVEDA CRUZ R.,RESTAURANT (0-30) SEATS HIGH RISK,1632,MARTITA'S MEXICAN RESTAURANT,ACTIVE,PR0022885,['Mexican'],False,34.0784552640991,-118.215173872232,$,4.5,22,Qr4VqR65FdJCgp0eaOVlNg
