,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DA0VBDBFF,08/22/2017 12:00:00 AM,DOMINO'S PIZZA,92,A,1,ROUTINE INSPECTION,EE0000846,5065 HOLLYWOOD BLVD STE 101,LOS ANGELES,FA0060991,CA,90027,OW0010606,E.M. PIZZA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOMINO'S PIZZA,ACTIVE,PR0010137,"['Pizza', 'Chicken Wings', 'Sandwiches']",False,34.1019519006337,-118.30006070841,$$,2.5,66,1rwTaABGIMCZu4GWabu3eQ
1,DA48HZSG3,08/22/2017 12:00:00 AM,RICK'S PRODUCE MARKET,96,A,1,ROUTINE INSPECTION,EE0000893,755 N VIRGIL AVE,LOS ANGELES,FA0249095,CA,90029,OW0243397,RICARDO G DOMINGUEZ & ALEJANDRO VERDUZCO,RESTAURANT (0-30) SEATS MODERATE RISK,1631,RICK'S PRODUCE MARKET,ACTIVE,PR0197804,"['Farmers Market', 'Juice Bars & Smoothies', 'Acai Bowls']",False,34.0848601440562,-118.287047334015,$$,5.0,44,bUBLRYI_E4WaGm_cAAPxJg
2,DAH0UEKZ2,08/22/2017 12:00:00 AM,CUTIES CAFE,97,A,1,ROUTINE INSPECTION,EE0000893,710 N HELIOTROPE DR,LOS ANGELES,FA0249282,CA,90029,OW0243562,CUTIES CAFE LLC,RESTAURANT (0-30) SEATS LOW RISK,1630,CUTIES CAFE,ACTIVE,PR0198009,['Coffee & Tea'],False,34.08401,-118.29471,$$,4.5,68,pGu8S_rl8duDVAf-T4cLxQ
3,DA66SEQFK,08/21/2017 12:00:00 AM,BURGER KING #5892,97,A,1,ROUTINE INSPECTION,EE0000997,3501 E WHITTIER BLVD,LOS ANGELES,FA0011351,CA,90023,OW0038416,"WANG, STEVE",RESTAURANT (61-150) SEATS MODERATE RISK,1637,BURGER KING #5892,ACTIVE,PR0047308,['Burgers'],False,34.0268584973962,-118.198178253061,$,1.5,7,wY7PkHUL7Wsf585b0xkg_A
4,DAUL1NNPN,08/21/2017 12:00:00 AM,CHILI THAI,82,B,1,ROUTINE INSPECTION,EE0000338,10889 W PICO BLVD,LOS ANGELES,FA0059656,CA,90064,OW0035416,"THAWATCHAI, LUNGGARSIT ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,CHILI THAI,INACTIVE,PR0018721,['Thai'],False,34.0399241,-118.4294456,$$,3.0,287,v1ZE4XOTvGRVfJr6B3K47g
5,DA86HDTQY,08/21/2017 12:00:00 AM,TARGET STORE #T2774,94,A,1,ROUTINE INSPECTION,EE0000911,10861 WEYBURN AVE,LOS ANGELES,FA0071919,CA,90024,OW0035036,TARGET CORPORATION,RESTAURANT (0-30) SEATS LOW RISK,1630,STARBUCKS / TARGET T2774,ACTIVE,PR0002710,['Department Stores'],False,34.0634119,-118.44373,$$,3.0,291,x_ZFlJO8lhPyWmZ5eMPYpA
6,DAZ626UI8,08/21/2017 12:00:00 AM,ASIA KITCHEN,96,A,1,ROUTINE INSPECTION,EE0000144,11279 VENICE BLVD,LOS ANGELES,FA0178618,CA,90066,OW0184334,XIGE YANG,RESTAURANT (0-30) SEATS HIGH RISK,1632,ASIA KITCHEN,ACTIVE,PR0172086,"['Chinese', 'Asian Fusion']",False,34.011917,-118.419675,$,3.0,56,D5Zo6W0n0PiJZ9Y5r5RENQ
7,DAKPDODAN,08/21/2017 12:00:00 AM,LA FITNESS JUICE BAR,94,A,1,ROUTINE INSPECTION,EE0000709,1628 N EL CENTRO AVE,LOS ANGELES,FA0138982,CA,90028,OW0102258,HOOLYWWOD SMOOTHIR INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA FITNESS JUICE BAR,ACTIVE,PR0123360,"['Gyms', 'Trainers', 'Yoga']",False,34.1006088,-118.3233185,blank,3.0,385,dWX_6ciOtIQBJm6WRoBHBg
8,DAERBUXAM,08/21/2017 12:00:00 AM,THE JERK SPOT,90,A,1,ROUTINE INSPECTION,EE0000043,9006 VENICE BLVD,LOS ANGELES,FA0164392,CA,90232,OW0127742,COURTNEY WILLIAMS,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE JERK SPOT,ACTIVE,PR0152662,"['Caribbean', 'Seafood']",False,34.0275895406312,-118.39096834878,$,4.0,268,0jMeb7Pp8Tqj9YAu0Yi8hA
9,DAJX4R0X0,08/21/2017 12:00:00 AM,WABA GRILL,94,A,1,ROUTINE INSPECTION,EE0000997,2324 E WHITTIER BLVD STE 8,LOS ANGELES,FA0054579,CA,90023,OW0031359,SALT N PEPPER INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WABA GRILL,ACTIVE,PR0045897,"['Asian Fusion', 'Fast Food']",False,34.0344452486836,-118.216339303335,$,3.0,24,_Ga5CSf8QlSBaKnNOAoZnw
