,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAN1DFWYH,12/02/2016 12:00:00 AM,STARBUCKS 22477,98,A,1,ROUTINE INSPECTION,EE0000366,2675 E OLYMPIC BLVD,LOS ANGELES,FA0160442,CA,90023,OW0033938,STARBUCKS COFFEE CORPORATION,RESTAURANT (31-60) SEATS LOW RISK,1633,STARBUCKS 22477,ACTIVE,PR0148534,['Coffee & Tea'],False,34.024787902832,-118.22021484375,$,2.5,120,CL50Xjsw93oEKofa_JWxmQ
1,DAESKFY6R,12/02/2016 12:00:00 AM,HOME RESTAURANT,93,A,1,ROUTINE INSPECTION,EE0000923,2500 RIVERSIDE DR,LOS ANGELES,FA0028868,CA,90039,OW0025489,"NAAV, INC.",RESTAURANT (151 + ) SEATS HIGH RISK,1641,HOME RESTAURANT,ACTIVE,PR0029136,"['American (New)', 'Breakfast & Brunch', 'Coffee & Tea']",False,34.1059761,-118.2567733,$$,3.5,1106,wcLpAXDF3dvJDrAJuV76tg
2,DAZK00M4C,12/02/2016 12:00:00 AM,STARBUCKS COFFEE #5877,98,A,1,ROUTINE INSPECTION,EE0000857,5453 HOLLYWOOD BLVD STE D,LOS ANGELES,FA0070985,CA,90027,OW0033938,STARBUCKS COFFEE CORPORATION,RESTAURANT (0-30) SEATS LOW RISK,1630,STARBUCK COFFEE #,ACTIVE,PR0038008,['Coffee & Tea'],False,34.101897013532,-118.30901442841,$,2.5,125,VxNpDZRIxDFU40HbcyIP8g
3,DAJ9OX3S2,12/02/2016 12:00:00 AM,LAS AMIGAS,91,A,1,ROUTINE INSPECTION,EE0000366,830 S SAN JULIAN ST,LOS ANGELES,FA0035403,CA,90014,OW0037433,"VEGA & SON, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,LAS AMIGAS,INACTIVE,PR0012960,['Mexican'],True,34.03857,-118.25013,$,4.0,44,Pm1bXFj4Wb959y0aVHVIkA
4,DALECUOZW,12/02/2016 12:00:00 AM,CAFE 9,94,A,1,ROUTINE INSPECTION,EE0000660,453 S SPRING ST STE 900,LOS ANGELES,FA0142274,CA,90013-2013,OW0105446,"LO, CALVIN",RESTAURANT (0-30) SEATS HIGH RISK,1632,CAFE 9,ACTIVE,PR0128714,"['Breakfast & Brunch', 'Sandwiches']",False,34.0477867126465,-118.24974822998,$,4.0,92,nD2MxxcUgoT0PvJEilXtsw
5,DAPUIYKHX,12/02/2016 12:00:00 AM,TOM BERGIN'S,93,A,1,ROUTINE INSPECTION,EE0000853,840 S FAIRFAX AVE,LOS ANGELES,FA0160420,CA,90036,OW0125383,BERGIN'S PUBLIC HOUSE LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,TOM BERGIN'S,ACTIVE,PR0148511,"['Sports Bars', 'Irish Pub', 'American (Traditional)']",True,34.06007,-118.3625,$$,4.0,507,PjScb-Rj3wFcOEaFNRKxdA
6,DAGI9CUC1,12/02/2016 12:00:00 AM,HOY'S WOK,93,A,1,ROUTINE INSPECTION,EE0000835,7105 W SUNSET BLVD,LOS ANGELES,FA0029647,CA,90046,OW0017053,"IP, HUNG PAUL",RESTAURANT (31-60) SEATS HIGH RISK,1635,HOY'S WOK,ACTIVE,PR0044313,['Chinese'],False,34.0980793863251,-118.344662189484,$$,4.0,415,8fnmCiqpLdtU2XvmofwjpA
7,DAVJZ3ZZ1,12/02/2016 12:00:00 AM,GOLDEN LAKE EATERY,83,B,1,ROUTINE INSPECTION,EE0000740,424 W COLLEGE ST UNIT E,LOS ANGELES,FA0171816,CA,90012,OW0178876,RITH VAN SIENG,RESTAURANT (0-30) SEATS HIGH RISK,1632,GOLDEN LAKE EATERY,ACTIVE,PR0164270,"['Cambodian', 'Vietnamese']",False,34.0639257513722,-118.238599507771,$,4.5,146,GWkTJVxzieQM2KfaAk9sBQ
8,DAU08GZKB,12/02/2016 12:00:00 AM,JADE WOK CHINESE CUISINE,94,A,1,ROUTINE INSPECTION,EE0000740,625 W COLLEGE ST STE #109,LOS ANGELES,FA0029984,CA,90012,OW0017314,JADE WOK INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,JADE WOK CHINESE CUISINE,ACTIVE,PR0041906,['Chinese'],False,34.06542,-118.24069,$,4.0,135,7_LW74I-UZPdIp1Az690pA
9,DA0CZ7QCG,12/02/2016 12:00:00 AM,SEALEGS WINE BAR,93,A,1,ROUTINE INSPECTION,EE0000633,200 WORLD WAY # T229,LOS ANGELES,FA0173867,CA,90045,OW0128045,SOCIAL CONCESSIONS LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,SEALEGS WINE BAR,ACTIVE,PR0166680,"['American (New)', 'Wine Bars']",False,33.9461775313555,-118.404049476721,$$,4.0,31,h0kA0m8yOvqjXqhsPTMjZg
