,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DA2OIWKOC,02/10/2016 12:00:00 AM,APOLLONIA'S PIZZERIA,92,A,1,ROUTINE INSPECTION,EE0000871,5176 WILSHIRE BLVD,LOS ANGELES,FA0057585,CA,90036,OW0028661,"PIZZAGRAPHY, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,APOLLONIA'S PIZZERIA,ACTIVE,PR0026207,"['Pizza', 'Salad', 'Italian']",False,34.06188,-118.34278,$$,4.0,310,w0cm7DFmBDQ_x2r83cvL6g
1,DA8CS4BZY,02/10/2016 12:00:00 AM,YOSHINOYA #1210,96,A,1,ROUTINE INSPECTION,EE0000912,1075 N WESTERN AVE STE 109,LOS ANGELES,FA0055741,CA,90038,OW0101581,"YOSHINOYA AMERICA, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,YOSHINOYA BEEF BOWL REST,ACTIVE,PR0036346,['Japanese'],False,34.0903911,-118.3097105,$,2.0,20,fGN55qTri9O46_D57Wvbnw
2,DA1SNUBLV,02/10/2016 12:00:00 AM,SPACE E UM,96,A,1,ROUTINE INSPECTION,EE0000946,3020 WILSHIRE BLVD #100,LOS ANGELES,FA0163212,CA,90010,OW0126878,SPACE E UM INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,SPACE E UM,ACTIVE,PR0151400,['Coffee & Tea'],False,34.0616012726842,-118.287059765609,$,4.5,216,Cunkv-IdDm-akb0ZjJ3RkQ
3,DAWKD4AZH,02/10/2016 12:00:00 AM,CAMY'S GRILL,90,A,1,ROUTINE INSPECTION,EE0000699,3339 WILSHIRE BLVD,LOS ANGELES,FA0164018,CA,90010,OW0127486,HUMBERTO CASTELLANOS,RESTAURANT (31-60) SEATS HIGH RISK,1635,CAMY'S GRILL,ACTIVE,PR0152251,"['American (Traditional)', 'Mexican']",False,34.0618949,-118.2958451,$,4.0,71,Qlq34zYA1MY3T7jpkxqyzw
4,DANY97LYI,02/10/2016 12:00:00 AM,THAI DELIGHT RESTAURANT,93,A,1,ROUTINE INSPECTION,EE0000946,186 S VERMONT AVE,LOS ANGELES,FA0050953,CA,90004,OW0039357,"WUTHICHINDA, SAMRUAI",RESTAURANT (0-30) SEATS HIGH RISK,1632,THAI DELIGHT RESTAURANT,ACTIVE,PR0001865,['Thai'],True,34.07053,-118.29129,$,3.0,160,m0NIQyc2eo2nAE-EkWHlOA
5,DAHECONS3,02/10/2016 12:00:00 AM,SHABUYO,96,A,1,ROUTINE INSPECTION,EE0001058,356 1/2 E 2ND ST,LOS ANGELES,FA0070326,CA,90012,OW0017439,JASMIN INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,SHABUYO,INACTIVE,PR0048333,['Japanese'],True,34.048028,-118.240055,$$,3.5,279,Gyqu8h_Z9q5RQNq4DKGrag
6,DANI0WTUZ,02/10/2016 12:00:00 AM,DENNYS #6826,92,A,1,ROUTINE INSPECTION,EE0001004,5142 TRIGGS ST,LOS ANGELES,FA0060801,CA,90022,OW0013176,"GHIAS, FAROOQ",RESTAURANT (61-150) SEATS HIGH RISK,1638,DENNYS #6826,ACTIVE,PR0029506,"['Diners', 'American (Traditional)', 'Breakfast & Brunch']",False,34.0108517,-118.1620573,$$,2.0,74,L4GkGMGy0N0MkeIZne6GMQ
7,DALBDBCUG,02/10/2016 12:00:00 AM,STARBUCKS COFFEE #9973,97,A,1,ROUTINE INSPECTION,EE0001058,120 S LOS ANGELES ST,LOS ANGELES,FA0034205,CA,90012,OW0033938,STARBUCKS COFFEE CORPORATION,RESTAURANT (0-30) SEATS LOW RISK,1630,STARBUCKS,ACTIVE,PR0008598,['Coffee & Tea'],False,34.05059,-118.24263,$,3.0,74,MEsACQ6JZRxG82qLsoUN3g
8,DACHXOZUS,02/10/2016 12:00:00 AM,O'WOKS,90,A,1,ROUTINE INSPECTION,EE0000059,8657 W PICO BLVD,LOS ANGELES,FA0202889,CA,90035,OW0208171,"O'WOKS SUSHIMY, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,O'WOKS,INACTIVE,PR0175191,"['Kosher', 'Chinese', 'Sushi Bars']",True,34.054402,-118.380394,$$,4.0,112,znkyLrO8PNJOhueouZWnGA
9,DALNVCBZ6,02/10/2016 12:00:00 AM,KAGURA DOWNTOWN,93,A,1,ROUTINE INSPECTION,EE0001058,137 JAPANESE VLG PLZ MALL,LOS ANGELES,FA0031652,CA,90012,OW0035821,THEISHOKUYA OF TOKYO INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KAGURA DOWNTOWN,ACTIVE,PR0032690,"['Japanese', 'Sushi Bars', 'Imported Food']",False,34.0488997341617,-118.240520119713,$$,3.0,305,aaHTKn8OL4HUFYQFFRiWWg
10,DAGFLPEAV,02/09/2016 12:00:00 AM,THREE FLAMES MONGOLIAN BBQ,98,A,1,ROUTINE INSPECTION,EE0000955,5608 W MANCHESTER AVE,LOS ANGELES,FA0051940,CA,90045,OW0016979,"INGALLS, BARBARA Y C",RESTAURANT (31-60) SEATS HIGH RISK,1635,THREE FLAMES MONGOLIAN BBQ,ACTIVE,PR0039574,"['Barbeque', 'Mongolian']",False,33.9597551,-118.3790799,$$,3.5,168,VLzWbQcCZ6ZXEdQb2g9EUQ
11,DAEQ5ZZRG,02/09/2016 12:00:00 AM,AVENUE 2 GRILL,90,A,1,ROUTINE INSPECTION,EE0000531,3456 WILSHIRE BLVD,LOS ANGELES,FA0202553,CA,90010,OW0207889,MOGLAII CORP,RESTAURANT (0-30) SEATS HIGH RISK,1632,AVENUE 2 GRILL,INACTIVE,PR0174806,"['American (Traditional)', 'Mexican', 'Halal']",True,34.0617267,-118.2995737,$,3.0,100,8qRl-OvWf-wWEuDiAHlKjw
12,DAAII0L1Y,09/24/2015 12:00:00 AM,AVENUE 2,90,A,1,ROUTINE INSPECTION,EE0000531,3456 WILSHIRE BLVD,LOS ANGELES,FA0004460,CA,90010,OW0034356,"SUNNY JAC, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,AVENUE 2,INACTIVE,PR0038237,"['American (Traditional)', 'Mexican', 'Halal']",True,34.0617267,-118.2995737,$,3.0,100,8qRl-OvWf-wWEuDiAHlKjw
