,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAHHEU0HC,03/30/2018 12:00:00 AM,MADAME MONSIEUR,90,A,1,ROUTINE INSPECTION,EE0000721,512 W 6TH ST,LOS ANGELES,FA0163135,CA,90014,OW0126803,ABK3 ENTERPRISES LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MADAME MONSIEUR,ACTIVE,PR0151318,"['Sandwiches', 'Coffee & Tea', 'Breakfast & Brunch']",False,34.048153012991,-118.254465535283,$$,4.5,198,tsu8Di7RHNdsrXJ0YknlIw
1,DAFWEKIMH,03/30/2018 12:00:00 AM,LA PERGOLETTO DELI,94,A,1,ROUTINE INSPECTION,EE0000846,1800 1/2 HILLHURST AVE,LOS ANGELES,FA0257916,CA,90027,OW0126873,P AND C LITTLE BLUE HOUSE LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA PERGOLETTO DELI,ACTIVE,PR0207867,['Delis'],False,34.10387733669,-118.286992685181,blank,5.0,3,xhmYU9dQ2lSpv5Ei6dhcNA
2,DAOCBLX0K,03/30/2018 12:00:00 AM,NORTHGATE MARKET,98,A,1,ROUTINE INSPECTION,EE0000884,2323 W OLYMPIC BLVD,LOS ANGELES,FA0026579,CA,90006,OW0026268,NORTHGATE GONZALEZ LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,NORTHGATE TORTILLERIA,ACTIVE,PR0005611,"['Grocery', 'Bakeries', 'Mexican']",False,34.0525196,-118.2826615,$$,3.5,55,5UpYCyRGhBkXhP2UhnK8tw
3,DAOCBLX0K,03/30/2018 12:00:00 AM,NORTHGATE MARKET,98,A,1,ROUTINE INSPECTION,EE0000884,2323 W OLYMPIC BLVD,LOS ANGELES,FA0026579,CA,90006,OW0026268,NORTHGATE GONZALEZ LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,NORTHGATE TORTILLERIA,ACTIVE,PR0005611,"['Grocery', 'Bakeries', 'Mexican']",False,34.0525196,-118.2826615,$$,3.5,55,5UpYCyRGhBkXhP2UhnK8tw
4,DAYDN22CM,03/30/2018 12:00:00 AM,NORTHGATE MARKET,99,A,1,ROUTINE INSPECTION,EE0000884,2323 W OLYMPIC BLVD,LOS ANGELES,FA0026579,CA,90006,OW0026268,NORTHGATE GONZALEZ LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,NORTHGATE MARKET,ACTIVE,PR0025606,"['Grocery', 'Bakeries', 'Mexican']",False,34.0525196,-118.2826615,$$,3.5,55,5UpYCyRGhBkXhP2UhnK8tw
5,DAYDN22CM,03/30/2018 12:00:00 AM,NORTHGATE MARKET,99,A,1,ROUTINE INSPECTION,EE0000884,2323 W OLYMPIC BLVD,LOS ANGELES,FA0026579,CA,90006,OW0026268,NORTHGATE GONZALEZ LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,NORTHGATE MARKET,ACTIVE,PR0025606,"['Grocery', 'Bakeries', 'Mexican']",False,34.0525196,-118.2826615,$$,3.5,55,5UpYCyRGhBkXhP2UhnK8tw
6,DATEECGX1,03/30/2018 12:00:00 AM,PIZZA HUT #26183,96,A,1,ROUTINE INSPECTION,EE0000733,6312 W 89TH ST,LOS ANGELES,FA0049668,CA,90045,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PIZZA HUT,ACTIVE,PR0028252,"['Pizza', 'Italian', 'Chicken Wings']",False,33.9557851,-118.3964225,$$,2.5,45,nsMTKzcJuCIZolPhyJaeCQ
7,DA7E0XYSS,03/30/2018 12:00:00 AM,KOBUNGA KOREAN GRILL,97,A,1,ROUTINE INSPECTION,EE0000117,929 W JEFFERSON BLVD,LOS ANGELES,FA0258130,CA,90089,OW0238756,"KOBUNGA, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,KOBUNGA KOREAN GRILL,ACTIVE,PR0208117,"['Korean', 'Barbeque']",False,34.025032,-118.28565,$$,4.0,50,8RXJiao_twvDmzDAqwkw6w
8,DAWD09XJ4,03/30/2018 12:00:00 AM,LA MICHOACANA COLD DELIGHTS,100,A,1,ROUTINE INSPECTION,EE0000800,2807 S VERMONT AVE,LOS ANGELES,FA0251703,CA,90007,OW0245602,ALFREDO ALEXANDER MARTINEZ,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA MICHOACANA COLD DELIGHTS,ACTIVE,PR0200881,['Ice Cream & Frozen Yogurt'],False,34.02928,-118.29191,$,5.0,16,M73tbVuf1__DKCRer_V0Rw
9,DAWOZR8QA,03/30/2018 12:00:00 AM,BIG 8,93,A,1,ROUTINE INSPECTION,EE0000857,5445 HOLLYWOOD BLVD STE A,LOS ANGELES,FA0255809,CA,90027,OW0248664,BIG EIGHT INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,BIG 8,ACTIVE,PR0205532,['Chinese'],False,34.1022662080257,-118.308654043514,blank,3.5,17,_R0SxGvm6nvCxyyQpLGjuw
10,DAELA42J3,03/30/2018 12:00:00 AM,SPROUTS FARMERS MARKET#403,94,A,1,ROUTINE INSPECTION,EE0000162,2245 YOSEMITE DR,LOS ANGELES,FA0224114,CA,90041-2618,OW0033830,"SPROUTS, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,DELI,ACTIVE,PR0179288,"['Grocery', 'Health Markets', 'Farmers Market']",False,34.135727219801,-118.216653764248,$$,3.5,128,jy7lEJol9d4uG6OM8q20EQ
11,DAFNBZRDP,03/06/2018 12:00:00 AM,OUMI SUSHI @ SPROUTS,93,A,1,ROUTINE INSPECTION,EE0000746,2245 YOSEMITE DR,LOS ANGELES,FA0224447,CA,90041,OW0125813,LWIN FAMILY COMPANY INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,OUMI SUSHI @ SPROUTS,ACTIVE,PR0179663,"['Grocery', 'Health Markets', 'Farmers Market']",False,34.135727219801,-118.216653764248,$$,3.5,128,jy7lEJol9d4uG6OM8q20EQ
12,DAXQX2YVJ,03/30/2018 12:00:00 AM,SALLY'S SNACK SHOP,92,A,1,ROUTINE INSPECTION,EE0000721,228 W 6TH ST,LOS ANGELES,FA0046716,CA,90014,OW0023330,"MARGOSSIAN, KARMEN",RESTAURANT (0-30) SEATS MODERATE RISK,1631,SALLY'S SNACK SHOP,ACTIVE,PR0037435,"['Food Stands', 'Delis']",False,34.046579,-118.251795,$,5.0,3,lmF_svaSOMjPITPzE1n5RQ
13,DA8UNDYLX,03/30/2018 12:00:00 AM,MI RANCHITO,94,A,1,ROUTINE INSPECTION,EE0000740,2325 E 1ST ST,LOS ANGELES,FA0066874,CA,90033,OW0015333,"HERNANDEZ, GENOVEVA",RESTAURANT (0-30) SEATS HIGH RISK,1632,MI RANCHITO,ACTIVE,PR0024434,"['Mexican', 'Dive Bars']",False,34.0439647,-118.2099355,$,3.5,3,-Hw6bEmqhpUeN78K9IdpJg
14,DAQYUZXDZ,03/30/2018 12:00:00 AM,OHM NIGHT CLUB,95,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD # 433,LOS ANGELES,FA0160148,CA,90028,OW0125130,"CREATIVE ENTERTAINMENT CONCEPTS, INC.",RESTAURANT (151 + ) SEATS HIGH RISK,1641,OHM NIGHT CLUB,ACTIVE,PR0148231,"['Dance Clubs', 'Bars']",False,34.10262,-118.33951,$$,2.0,391,2vLs64fMoWWvKXrxMWzhjg
15,DATPZODIW,03/30/2018 12:00:00 AM,LOUISIANA FRIED CHICKEN,91,A,1,ROUTINE INSPECTION,EE0000800,2103 W JEFFERSON BLVD,LOS ANGELES,FA0066010,CA,90018,OW0036867,UNG SANDI TANG,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LOUISIANA FRIED CHICKEN,ACTIVE,PR0039708,['Chicken Wings'],False,34.0257981770513,-118.317898690932,$,3.0,9,Ys27bNZdVRCMStBN7ZKGqA
16,DAEM0UEYM,03/30/2018 12:00:00 AM,D-TOWN BURGER BAR,90,A,1,ROUTINE INSPECTION,EE0000721,216 W 6TH ST,LOS ANGELES,FA0158295,CA,90014,OW0014073,GREEN STREET TAVERN INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,D-TOWN BURGER BAR,ACTIVE,PR0146376,"['Burgers', 'American (Traditional)', 'Breakfast & Brunch']",False,34.0462270870956,-118.251471184194,$,3.5,289,lLWHbjsrUKpnsk22yYIZIA
17,DALATOCL2,03/30/2018 12:00:00 AM,DARABAR SECRET THAI CUISINE,91,A,1,ROUTINE INSPECTION,EE0000857,5112 HOLLYWOOD BLVD # 108-0,LOS ANGELES,FA0060645,CA,90027,OW0032106,"SEESOD, PRAKOPSUP",RESTAURANT (31-60) SEATS HIGH RISK,1635,DARABAR SECRET THAI CUISINE,ACTIVE,PR0031093,"['Thai', 'Asian Fusion', 'Cocktail Bars']",False,34.10137,-118.30125,$$,3.5,96,cC0ERV9TQMWE0FkE6kxjtQ
18,DA0RZDWLN,03/30/2018 12:00:00 AM,THE BAGEL FACTORY,93,A,1,ROUTINE INSPECTION,EE0000727,8984 CADILLAC AVE,LOS ANGELES,FA0051619,CA,90034,OW0031653,"SANFORD, BRODY",RESTAURANT (0-30) SEATS MODERATE RISK,1631,THE BAGEL FACTORY,ACTIVE,PR0037137,"['Bagels', 'Kosher', 'Breakfast & Brunch']",False,34.040959,-118.3875303,$,3.5,208,5CnwqBToYclOponolK9buA
19,DA0Z5W4J0,03/30/2018 12:00:00 AM,CREPE EXPRESS,92,A,1,ROUTINE INSPECTION,EE0000721,529 W 6TH ST,LOS ANGELES,FA0017227,CA,90014,OW0035638,THE MAGIC GRIDDLES INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CREPE EXPRESS,ACTIVE,PR0037962,"['Creperies', 'Breakfast & Brunch', 'Cafes']",False,34.0487931,-118.2549527,$,4.5,519,JdWSHbK2aiNA3L3wlKSPdQ
20,DAHJCMQEN,03/30/2018 12:00:00 AM,TARGET,98,A,1,ROUTINE INSPECTION,EE0000721,735 S FIGUEROA ST,LOS ANGELES,FA0051180,CA,90017,OW0035036,TARGET CORPORATION,RESTAURANT (0-30) SEATS LOW RISK,1630,TARGET - STARBUCKS,ACTIVE,PR0035596,['Department Stores'],False,34.049058,-118.261602,$$,3.0,452,_qXfYvA5K-OY3xwaYAXD6Q
21,DAAQ7G4NR,03/30/2018 12:00:00 AM,DEL TACO #162,93,A,1,ROUTINE INSPECTION,EE0000523,3020 W LOS FELIZ BLVD,LOS ANGELES,FA0060705,CA,90039,OW0009661,DEL TACO INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,DEL ACO #162,ACTIVE,PR0016936,['Fast Food'],False,34.124955,-118.26513,$,3.0,140,CWLgVycWXVuYFpKp27KvbQ
22,DAEGFXJHE,03/30/2018 12:00:00 AM,JUICE N FRUIT,97,A,1,ROUTINE INSPECTION,EE0000800,3025 S VERMONT AVE,LOS ANGELES,FA0250720,CA,90007,OW0244783,"JUICE N FRUITS , LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,JUICE N FRUIT,ACTIVE,PR0199751,"['Juice Bars & Smoothies', 'Bubble Tea', 'Sandwiches']",False,34.0270435833931,-118.291682861745,$,5.0,33,1SknaNn5EWOaQLI6SxzwoA
23,DAPR3LUYL,03/30/2018 12:00:00 AM,VISTA DEL MAR FOOD SERVICE A,95,A,1,ROUTINE INSPECTION,EE0000727,3200 MOTOR AVE,LOS ANGELES,FA0039917,CA,90034,OW0002888,ARA SERVICES INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,VISTA DEL MAR FOOD SERVICE A,ACTIVE,PR0015432,"['Middle Schools & High Schools', 'Counseling & Mental Health', 'Community Service/Non-Profit']",False,34.03178,-118.40952,blank,2.5,17,I__5SNCF8inre9QxbtvT7Q
24,DAECZD1AT,03/30/2018 12:00:00 AM,C & M CAFE,97,A,1,ROUTINE INSPECTION,EE0000853,5905 WILSHIRE BLVD,LOS ANGELES,FA0011503,CA,90036,OW0035686,THE PATINA GROUP NEWCO LLC,RESTAURANT (31-60) SEATS LOW RISK,1633,C & M CAFE,ACTIVE,PR0038058,['Coffee & Tea'],False,34.06372,-118.35689,$$,3.5,194,2uqSYyUspbOnTs2XAqBB5A
25,DAGL29ASJ,03/30/2018 12:00:00 AM,PARU'S INDIAN RESTAURANT,96,A,1,ROUTINE INSPECTION,EE0000857,5140 W SUNSET BLVD,LOS ANGELES,FA0044033,CA,90027,OW0027941,PARU'S RESTAURANT INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,PARU'S INDIAN RESTAURANT,ACTIVE,PR0017175,"['Indian', 'Vegetarian']",False,34.09787,-118.30203,$$,4.0,490,t22X4OZvKo5YTYZzAZLvPQ
26,DA9Z3KWBO,03/30/2018 12:00:00 AM,MCDONALD'S #4589,98,A,1,ROUTINE INSPECTION,EE0000884,2020 W OLYMPIC BLVD,LOS ANGELES,FA0066673,CA,90006,OW0012761,ROSEHEN CORP,RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALDS #4589,ACTIVE,PR0043283,"['Fast Food', 'Burgers', 'Coffee & Tea']",False,34.05101,-118.27923,$,2.5,64,H1ePdbTLkaJABRZAWxS2Dg
27,DAGCPV1BP,03/30/2018 12:00:00 AM,O JANG DONG RESTAURANT,91,A,1,ROUTINE INSPECTION,EE0001003,4031 W 3RD ST,LOS ANGELES,FA0240929,CA,90020,OW0236942,OJD INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,O JANG DONG RESTAURANT,ACTIVE,PR0188988,"['Korean', 'Soup', 'Noodles']",False,34.06919,-118.30126,$$,4.0,266,0t_E4EBkM9wDi1Ov46ifDg
28,DA0HEAJNR,03/30/2018 12:00:00 AM,LOS ANGELES NEW YORK PIZZA,92,A,1,ROUTINE INSPECTION,EE0000721,518 W 6TH ST,LOS ANGELES,FA0022748,CA,90014,OW0017480,JAYSUKHGHQI T PATEL,RESTAURANT (31-60) SEATS MODERATE RISK,1634,LOS ANGELES NEW YORK PIZZA,ACTIVE,PR0031535,"['Pizza', 'Desserts', 'Salad']",False,34.04821,-118.25496,$,3.5,98,1tZfrsndf4-9rcLfYWVvCQ
29,DAWPEQ0IL,03/30/2018 12:00:00 AM,LA COCINA DEL SERENO,90,A,1,ROUTINE INSPECTION,EE0000740,4989 HUNTINGTON DR N,LOS ANGELES,FA0203821,CA,90032,OW0208938,DORY COCINA INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,LA COCINA DEL SERENO,ACTIVE,PR0176358,['Mexican'],False,34.0880778,-118.1742822,$,4.0,84,qr1u5mSt4iHSDHAKYJmHNw
30,DA7PKAIGH,03/30/2018 12:00:00 AM,K&A CATON CHINESE REST.,90,A,1,ROUTINE INSPECTION,EE0000727,9840 NATIONAL BLVD,LOS ANGELES,FA0258138,CA,90034,OW0250387,K & A CANTON CHINESE RESTAURANT,RESTAURANT (31-60) SEATS HIGH RISK,1635,K&A CATON CHINESE REST.,ACTIVE,PR0208124,['Chinese'],False,34.0311497,-118.400895,$,3.0,143,D9R0ynjo-hu7hnLEiWB7fA
31,DA1N7S4BF,03/30/2018 12:00:00 AM,LA LUNA RESTAURANT,94,A,1,ROUTINE INSPECTION,EE0000740,2333 E 1ST ST,LOS ANGELES,FA0164713,CA,90033,OW0128031,SUCCESS GLOBAL INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,LA LUNA RESTAURANT,ACTIVE,PR0152993,['Mexican'],False,34.0438339,-118.2099814,$,4.0,7,ZMS7iCIi1OeYwgPKQi-IaQ
32,DAVJPJJ0W,03/30/2018 12:00:00 AM,HECHO EN MEXICO,90,A,1,ROUTINE INSPECTION,EE0000740,4976 E HUNTINGTON DR S,LOS ANGELES,FA0027371,CA,90032,OW0006528,"CASTRO, CONCEPCION",RESTAURANT (151 + ) SEATS HIGH RISK,1641,HECHO EN MEXICO,ACTIVE,PR0043081,['Mexican'],False,34.08743,-118.174,$$,3.5,180,i2CVilWLfLXi6ydpKOqU0w
33,DAUGKTBZA,03/30/2018 12:00:00 AM,SEOUL SAUSAGE,92,A,1,ROUTINE INSPECTION,EE0001058,236 S LOS ANGELES ST # G,LOS ANGELES,FA0176890,CA,90012,OW0182884,SEOUL SAUSAGE LITTLE TOKYO LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,SEOUL SAUSAGE,ACTIVE,PR0169812,"['Bars', 'Barbeque', 'Korean']",True,34.0494392252068,-118.243804101852,$$,4.0,549,daN3oH9MHNqmDfvrPXBLkw
34,DASDRTZLV,03/30/2018 12:00:00 AM,MARISCOS EL KORA LE NAYARIT,94,A,1,ROUTINE INSPECTION,EE0000740,4863 HUNTINGTON DR N,LOS ANGELES,FA0037748,CA,90032,OW0030054,"REYNALDO, AGAPITO LOPEZ",RESTAURANT (31-60) SEATS HIGH RISK,1635,MARISCOS EL KORA LE NAYARIT,ACTIVE,PR0029380,"['Seafood', 'Mexican']",False,34.0865755,-118.1780848,$$,4.0,60,4Ip_OfL6PUHbYj3U4ybhRQ
35,DALT6MPAF,03/30/2018 12:00:00 AM,WAHLBURGERS,96,A,1,ROUTINE INSPECTION,EE0000117,835 W JEFFERSON BLVD # 7A-B,LOS ANGELES,FA0255619,CA,90007,OW0248522,"WB USC, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,WAHLBURGERS,ACTIVE,PR0205313,"['Burgers', 'American (Traditional)']",False,34.0242256,-118.2846996,$$,3.5,132,dQI2N7qVsjrQ4BxnyR0pHg
36,DAU5NNMIX,03/30/2018 12:00:00 AM,TORUNG THAI CUISINE,93,A,1,ROUTINE INSPECTION,EE0000857,5657 HOLLYWOOD BLVD,LOS ANGELES,FA0038381,CA,90028,OW0038471,"WASANSAREKUL, VERAWAN",RESTAURANT (61-150) SEATS HIGH RISK,1638,TORUNG THAI CUISINE,ACTIVE,PR0018370,['Thai'],False,34.101864329938,-118.3133573603,$,4.0,461,o2tLNKm3YgEMahB9nO5PYw
37,DAKGWGTYN,03/30/2018 12:00:00 AM,SUSHI AI,90,A,1,ROUTINE INSPECTION,EE0000846,1972 HILLHURST AVE,LOS ANGELES,FA0258145,CA,90027,OW0250394,IJ LEE INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,SUSHI AI,ACTIVE,PR0208131,"['Sushi Bars', 'Japanese']",False,34.1073465,-118.2872751,$$,4.5,36,J5OiWmshzD9Xf4NusZvhjA
