,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DA0YHHA2S,06/24/2016 12:00:00 AM,ROLL ROLL ROLL,92,A,1,ROUTINE INSPECTION,EE0000869,635 S HOBART BLVD STE #C,LOS ANGELES,FA0046107,CA,90005,OW0032672,SEONG CHEOL SHIN,RESTAURANT (31-60) SEATS HIGH RISK,1635,ROLL ROLL ROLL,ACTIVE,PR0019546,"['Sushi Bars', 'Japanese', 'Korean']",False,34.06239,-118.30572,$,4.0,627,PK6rMNU-3_1f0fIbLg8EOw
1,DA7XAVL0A,06/24/2016 12:00:00 AM,MCDONALD'S # 2818,94,A,1,ROUTINE INSPECTION,EE0000557,4480 E OLYMPIC BLVD,LOS ANGELES,FA0038650,CA,90023,OW0023899,MCDONALD'S CORPORATION,RESTAURANT (31-60) SEATS MODERATE RISK,1634,MCDONALD'S # 2818,ACTIVE,PR0024426,"['Burgers', 'Fast Food', 'Coffee & Tea']",False,34.0185263065477,-118.174203360352,$,2.0,55,8AchsHHDkmKE_qxTIaSaKw
2,DAVQIQI62,06/24/2016 12:00:00 AM,SAKE HOUSE MIRO,94,A,1,ROUTINE INSPECTION,EE0000853,809 S LA BREA AVE,LOS ANGELES,FA0069962,CA,90036,OW0009954,DIATECH PLANNING INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,SAKE HOUSE MIRO,ACTIVE,PR0043471,"['Sushi Bars', 'Japanese']",False,34.0601827,-118.3449713,$$,4.0,376,26FRGIN7EWIBB19zWeejTQ
3,DAPKOHD6E,06/24/2016 12:00:00 AM,VELVET MARGRITA,94,A,1,ROUTINE INSPECTION,EE0000709,1612 N CAHUENGA BLVD,LOS ANGELES,FA0039560,CA,90028,OW0023095,MAMACITAS INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,VELVET MARGRITA,ACTIVE,PR0009806,"['Mexican', 'Bars']",False,34.10028,-118.32927,$$,4.0,1075,3Tfkr7eD4wvd_zr7IhBCwQ
4,DA7O8VZEJ,06/24/2016 12:00:00 AM,TENDER GREENS,98,A,1,ROUTINE INSPECTION,EE0000721,523 W 6TH ST,LOS ANGELES,FA0164939,CA,90017,OW0179061,T.Y.P. RESTAURANT GROUP INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,TENDER GREENS,ACTIVE,PR0153233,"['Salad', 'American (New)', 'Sandwiches']",False,34.0482309,-118.2544396,$$,4.0,269,1V-opbw-NvOlbWwVLBNwYg
5,DA7CDIFYM,06/24/2016 12:00:00 AM,KITCHEN 24,90,A,1,ROUTINE INSPECTION,EE0000709,1608 N CAHUENGA BLVD,LOS ANGELES,FA0032525,CA,90028,OW0019704,"KITCHEN 24, LLC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,KITCHEN 24,ACTIVE,PR0018889,"['Diners', 'Breakfast & Brunch', 'Cocktail Bars']",False,34.1003728128631,-118.329342038014,$$,3.5,1900,Y3Wabu0ooqg9Cr5_QeAedA
6,DA8VWEKAG,06/24/2016 12:00:00 AM,ASIAN BOX,93,A,1,ROUTINE INSPECTION,EE0000721,455 S FIGUEROA ST # 101,LOS ANGELES,FA0164999,CA,90071,OW0124152,ASIAN BOX PALO ALTO LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,ASIAN BOX,ACTIVE,PR0153302,"['Gluten-Free', 'Asian Fusion', 'Vegan']",False,34.0529343180276,-118.257182712459,$,4.0,144,8h5z9lllo4x5HcBnOBOaBg
7,DALNRH6MC,06/24/2016 12:00:00 AM,KOKIO RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000869,3977 W 6TH ST,LOS ANGELES,FA0224583,CA,90020,OW0229039,KOKIO ASSOCIATED INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,KOKIO RESTAURANT,ACTIVE,PR0179827,"['Chicken Wings', 'Korean', 'Sandwiches']",False,34.063697,-118.310092,$$,3.5,304,rnQ87N9sdwm9A6bWyIVL0A
8,DAIVGQSFB,06/24/2016 12:00:00 AM,MASTER CHEF,90,A,1,ROUTINE INSPECTION,EE0000740,937 N HILL ST,LOS ANGELES,FA0221749,CA,90012,OW0226754,PING ON VENTURES INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,MASTER CHEF,INACTIVE,PR0176750,['Chinese'],True,34.06549,-118.2384,$$,3.5,464,upjZVinxgpei3Nb83KI0Ig
9,DAI0Y2CGM,06/24/2016 12:00:00 AM,MAMA CHURRO Y MAS,90,A,1,ROUTINE INSPECTION,EE0000740,4836 HUNTINGTON DR S,LOS ANGELES,FA0066290,CA,90032,OW0023090,MAMA CHURRO INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MAMA CHURRO Y MAS,INACTIVE,PR0045755,"['Mexican', 'Ice Cream & Frozen Yogurt', 'Sandwiches']",True,34.085809,-118.178721,$,4.5,293,dP6OqgNV2gRe6oSdoNCTBg
10,DANXGXZER,06/24/2016 12:00:00 AM,BIRCH,92,A,1,ROUTINE INSPECTION,EE0000709,1634 N CAHUENGA BLVD,LOS ANGELES,FA0170275,CA,90028-6202,OW0178086,"CAHUENGA REST. PARTNERS, L.P",RESTAURANT (31-60) SEATS HIGH RISK,1635,BIRCH,ACTIVE,PR0160738,"['American (New)', 'Cocktail Bars']",True,34.10091,-118.32927,$$$,4.0,364,JbOIDSaeSXHG2ZL7ozJ9AQ
11,DABB70XB3,06/24/2016 12:00:00 AM,ETCHEA,98,A,1,ROUTINE INSPECTION,EE0000721,254 S HOPE ST,LOS ANGELES,FA0138099,CA,90012,OW0101504,HOPE ST. BAKERY PARTNERS LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,ETCHEA,ACTIVE,PR0122337,"['Bakeries', 'Desserts', 'Cafes']",False,34.0541256,-118.2516512,$$,4.0,107,kkQS1hdrEHQmGNL-3RtH5w
12,DAIP89G0G,06/24/2016 12:00:00 AM,NEXT DOOR LOUNGE,92,A,1,ROUTINE INSPECTION,EE0000822,1154 N HIGHLAND AVE,LOS ANGELES,FA0067565,CA,90038,OW0026319,"NOURISH, LLC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,NEXT DOOR LOUNGE,ACTIVE,PR0035917,"['Lounges', 'American (New)']",False,34.092322,-118.338236,$$,4.0,977,Dv6-iy7-tN8ETAjqW6eg4g
13,DAOJEENCR,06/24/2016 12:00:00 AM,FENG MAO II,90,A,1,ROUTINE INSPECTION,EE0000869,414 S WESTERN AVE #E,LOS ANGELES,FA0022970,CA,90020,OW0011732,"FENG MAO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,FENG MAO II,ACTIVE,PR0005625,"['Korean', 'Chinese']",False,34.0666262190672,-118.308967856483,$$,4.0,304,q8hexOMqB9s3-ryNoum_KA
