,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAZKMTEVQ,01/25/2017 12:00:00 AM,STARBUCKS COFFEE #21800,98,A,1,ROUTINE INSPECTION,EE0000724,5857 S CENTRAL AVE,LOS ANGELES,FA0159889,CA,90001,OW0033938,STARBUCKS COFFEE CORPORATION,RESTAURANT (0-30) SEATS LOW RISK,1630,STARBUCKS COFFEE #21800,ACTIVE,PR0147964,['Coffee & Tea'],False,33.987956238919,-118.257122941139,$,3.0,56,merpERKMMf6MpAUDYq9vZg
1,DADBNLLRK,01/25/2017 12:00:00 AM,TILA'S KITCHEN,90,A,1,ROUTINE INSPECTION,EE0000557,3909 WHITTIER BLVD,LOS ANGELES,FA0165712,CA,90023-2423,OW0128958,CRUZ ANTONIO GARCIA,RESTAURANT (0-30) SEATS HIGH RISK,1632,TILA'S KITCHEN,ACTIVE,PR0154047,['Mexican'],False,34.0240449,-118.18899,$$,3.0,23,OWfJILhE7uNXlVzY74jdAw
2,DA8SVCZJ9,01/25/2017 12:00:00 AM,THE COFFEE BEAN & TEA LEAF,95,A,1,ROUTINE INSPECTION,EE0001048,1845 S LA CIENEGA BLVD # B,LOS ANGELES,FA0072177,CA,90035,OW0017025,INTERNATIONAL COFFEE & TEA LLC,RESTAURANT (0-30) SEATS LOW RISK,1630,THE COFFEE BEAN & TEA LEAF,ACTIVE,PR0043908,['Coffee & Tea'],False,34.04285,-118.376162,$,3.5,84,-iyGoTGJyg8yEVJsJAIvfQ
3,DAASQUBI0,01/25/2017 12:00:00 AM,LITTLE TEMPLE,83,B,1,ROUTINE INSPECTION,EE0000904,4515 SANTA MONICA BLVD,LOS ANGELES,FA0035371,CA,90029,OW0035631,THE LITTLE TEMPLE LLC,RESTAURANT (31-60) SEATS LOW RISK,1633,LITTLE TEMPLE,ACTIVE,PR0013319,"['Bars', 'Dance Clubs']",True,34.09105,-118.28703,$$,3.5,236,zj78yWN3xdkXJll3EXvmvQ
4,DA5T5F5YL,01/25/2017 12:00:00 AM,SOUPLANTATION # 19,96,A,1,ROUTINE INSPECTION,EE0000727,11911 SAN VICENTE BLVD STE #116,LOS ANGELES,FA0048234,CA,90049,OW0012891,GARDEN FRESH CORP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,SOUPLANTATION,INACTIVE,PR0046204,"['Buffets', 'Vegetarian', 'Salad']",False,34.05317,-118.47017,$$,3.5,360,jcdIrdgeg58VbezTxJoVBw
5,DAZILTCX1,01/25/2017 12:00:00 AM,HAPPY RICE CAKE HOUSE,90,A,1,ROUTINE INSPECTION,EE0000854,855 S WESTERN AVE,LOS ANGELES,FA0026809,CA,90005,OW0019397,"KIM, KYUNG SOOK",RESTAURANT (0-30) SEATS MODERATE RISK,1631,HAPPY RICE CAKE HOUSE,ACTIVE,PR0044157,['Korean'],False,34.0564116,-118.3092149,blank,4.0,12,8EMUuV9q4etldZP1SwZBWQ
6,DA5HUG0WK,01/25/2017 12:00:00 AM,ODYS & PENELOPE SAMPLE MENU,90,A,1,ROUTINE INSPECTION,EE0000828,127 S LA BREA AVE,LOS ANGELES,FA0166270,CA,90036,OW0129439,"THE LA BREA TWO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,ODYS & PENELOPE SAMPLE MENU,ACTIVE,PR0156525,['American (Traditional)'],False,34.07275,-118.34437,$$$,4.0,545,yJ9wI3NEy65oGMKjtaGIxA
7,DAU0XWQFF,01/25/2017 12:00:00 AM,INDIA JONES THE KITCHEN,94,A,1,ROUTINE INSPECTION,EE0000707,3670 BROADWAY PL,LOS ANGELES,FA0239794,CA,90007-4406,OW0236013,SUMANT PARDAL,RESTAURANT (0-30) SEATS HIGH RISK,1632,INDIA JONES THE KITCHEN,ACTIVE,PR0187786,['Indian'],False,34.0154035,-118.2743241,$$,4.0,16,1DzOF8xHN1vYgr65NEM-_w
8,DABFI7DMI,01/25/2017 12:00:00 AM,EDIBLE ARRANGEMENTS-1003,96,A,1,ROUTINE INSPECTION,EE0000869,3785 WILSHIRE BLVD STE 22,LOS ANGELES,FA0173691,CA,90010,OW0180446,CHOUDHRY EMPIRE INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,EDIBLE ARRANGEMENTS-1003,ACTIVE,PR0166474,"['Gift Shops', 'Florists', 'Chocolatiers & Shops']",False,34.062613,-118.308783,$$,3.0,85,DdMxqJtfQnkmimrrUQCItA
9,DAA8KUZJR,01/25/2017 12:00:00 AM,SUSHI FUMI,92,A,1,ROUTINE INSPECTION,EE0000957,359 N LA CIENEGA BLVD,LOS ANGELES,FA0174656,CA,90048,OW0181294,WU KYUNG MOON,RESTAURANT (31-60) SEATS HIGH RISK,1635,SUSHI FUMI,ACTIVE,PR0167685,['Sushi Bars'],False,34.07776,-118.37694,$$,4.5,233,m_xAjTKjvcyqd-jBs8A2VA
