,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAW3SZNBS,06/26/2017 12:00:00 AM,KITCHEN 24,86,B,1,ROUTINE INSPECTION,EE0000709,1608 N CAHUENGA BLVD,LOS ANGELES,FA0032525,CA,90028,OW0019704,"KITCHEN 24, LLC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,KITCHEN 24,ACTIVE,PR0018889,"['Diners', 'Breakfast & Brunch', 'Cocktail Bars']",False,34.1003728128631,-118.329342038014,$$,3.5,1905,Y3Wabu0ooqg9Cr5_QeAedA
1,DA4OPBWFQ,06/26/2017 12:00:00 AM,DOC POPCORN,97,A,1,ROUTINE INSPECTION,EE0000905,3650 MARTIN LUTHER KING JR BLVD # 450,LOS ANGELES,FA0177094,CA,90008,OW0183068,"NG CREATIVE DEVELOP, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOC POPCORN,ACTIVE,PR0170046,['Popcorn Shops'],False,34.01043,-118.33666,$,5.0,20,6Ie-kdFMcC_iqozNyrfX7A
2,DAWZIVPDM,06/26/2017 12:00:00 AM,BREWWELL COFFEE,96,A,1,ROUTINE INSPECTION,EE0000822,6515 SUNSET BLVD,LOS ANGELES,FA0224500,CA,90028-7251,OW0228968,"BREWWELL, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,BREWWELL COFFEE,ACTIVE,PR0179724,['Coffee & Tea'],False,34.0982833,-118.3316178,$$,4.5,321,_dL-0xaD3KxVY5caROuAiw
3,DAHQ6YK97,06/26/2017 12:00:00 AM,THE DARKROOM KITCHEN,92,A,1,ROUTINE INSPECTION,EE0000951,7302 MELROSE AVE,LOS ANGELES,FA0072217,CA,90046,OW0032301,SEVEN MELROSE LLC,RESTAURANT (31-60) SEATS LOW RISK,1633,THE DARKROOM,ACTIVE,PR0009402,"['American (New)', 'Comfort Food', 'Lounges']",False,34.08327,-118.34886,$$,3.5,287,7ydQ514GwDhbaFetIMQ7wA
4,DA0882439,06/26/2017 12:00:00 AM,MANDARIN KITCHEN,94,A,1,ROUTINE INSPECTION,EE0000924,1822 WESTWOOD BLVD,LOS ANGELES,FA0240840,CA,90025,OW0236863,NEW MANDARIN KITCHEN,RESTAURANT (0-30) SEATS HIGH RISK,1632,MANDARIN KITCHEN,ACTIVE,PR0188895,['Chinese'],False,34.049166,-118.436138,$$,3.5,313,Np9FlHZKgQ5Msm94ph5gyw
5,DAR8BTCWK,06/26/2017 12:00:00 AM,THE WAFFLE,98,A,1,ROUTINE INSPECTION,EE0000709,6255 W SUNSET BLVD STE #105,LOS ANGELES,FA0051830,CA,90028,OW0035796,"THE WAFFLE, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE WAFFLE,ACTIVE,PR0010922,"['American (New)', 'Breakfast & Brunch', 'Waffles']",False,34.0982366768601,-118.325743215344,$$,3.5,1495,3mGaY3IALyBzwM5oue6CLQ
6,DAK0UVBLI,06/26/2017 12:00:00 AM,KASANDRA'S PUPUSERIA,75,C,1,ROUTINE INSPECTION,EE0001025,5736 S BROADWAY,LOS ANGELES,FA0064666,CA,90037,OW0009770,"DENOCHEZ, BLANCA ZUNIGA",RESTAURANT (0-30) SEATS HIGH RISK,1632,KASANDRA'S PUPUSERIA,ACTIVE,PR0006212,['Salvadoran'],False,33.989835,-118.278069,$,4.0,26,8uDvYRXZqCYVfcWur9amRw
7,DAMX78HSX,06/26/2017 12:00:00 AM,MH ZH,93,A,1,ROUTINE INSPECTION,EE0000904,3536 W SUNSET BLVD,LOS ANGELES,FA0248271,CA,90026,OW0242727,STERLING + OAK INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,MH ZH,ACTIVE,PR0196923,['Mediterranean'],False,34.08929,-118.27693,$$,4.5,229,E3FcxLk7-HQqbdQKr7cd0A
8,DAHHIXYE2,06/26/2017 12:00:00 AM,"BURGER FACTORY II, INC",95,A,1,ROUTINE INSPECTION,EE0000874,1358 W MARTIN LUTHER KING BLVD,LOS ANGELES,FA0038953,CA,90037,OW0100552,"BURGER FACTORY II, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,BURGER FACTORY II,ACTIVE,PR0040706,"['Mexican', 'Burgers', 'Fast Food']",False,34.0106363940832,-118.299984969199,$,2.5,36,Dw5blRdPLXd2WsP9znM1aQ
9,DAPU7APFE,06/26/2017 12:00:00 AM,SOUPLANTATION,91,A,1,ROUTINE INSPECTION,EE0000468,100 N LA CIENEGA BLVD # E-3,LOS ANGELES,FA0245108,CA,90048,OW0240226,"GARDEN FRESH RESTAURANTS, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,SOUPLANTATION,ACTIVE,PR0193482,"['Vegetarian', 'Buffets', 'Salad']",False,34.074201,-118.375755,$$,3.5,304,VuKevgwK-IxVgjGfePy79A
