,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
276,DAFIORSMU,01/06/2016 12:00:00 AM,ROMERO'S ROTISSERIE CHICKEN,83,B,1,ROUTINE INSPECTION,EE0000893,611 N VIRGIL AVE,LOS ANGELES,FA0030983,CA,90004,OW0017926,JORGE ROMERO,RESTAURANT (31-60) SEATS HIGH RISK,1635,ROMERO'S ROTISSERIE CHICKEN,INACTIVE,PR0046674,"['Mexican', 'Chicken Wings', 'Salvadoran']",True,34.082201,-118.287181,$,4.5,85,pYc3DxyNzDMFQ2MbMYcZNQ
277,DAVZFDQ5I,01/06/2016 12:00:00 AM,ALADIN SWEETS & MARKET,86,B,1,ROUTINE INSPECTION,EE0001003,139 S VERMONT AVE,LOS ANGELES,FA0005453,CA,90004,OW0017113,"ISLAM, SERAJUL",RESTAURANT (31-60) SEATS HIGH RISK,1635,ALADIN SWEETS & MARKET,ACTIVE,PR0008287,"['Indian', 'Bangladeshi', 'International Grocery']",False,34.07156,-118.29206,$,3.5,157,QYcA3cmzUEfjDjgojwWhdw
278,DAXMBOEZR,01/06/2016 12:00:00 AM,EL MAJAHUAL RESTAURANT,96,A,1,ROUTINE INSPECTION,EE0001006,1925 W TEMPLE ST #101,LOS ANGELES,FA0020806,CA,90026,OW0101202,"HERNANDEZ, ROSA S GUILLEN",RESTAURANT (0-30) SEATS HIGH RISK,1632,EL MAJAHUAL RESTAURANT,ACTIVE,PR0010053,['Salvadoran'],False,34.0698623657227,-118.265830993652,$,4.0,27,iOBe81a8lSk3V4lk_C-M3g
279,DA1TQEFWV,01/06/2016 12:00:00 AM,OSTIONERIA COLIMA #2,98,A,1,ROUTINE INSPECTION,EE0001006,434 N ALVARADO ST,LOS ANGELES,FA0042748,CA,90026,OW0003098,"ARREDONDO, ARTURO",RESTAURANT (61-150) SEATS HIGH RISK,1638,OSTIONERIA COLIMA #2,INACTIVE,PR0016413,"['Mexican', 'Seafood']",False,34.0710601806641,-118.267127990723,$,3.0,34,o-8dae13E3VTE7TVGoVj0Q
280,DA24MPUR0,01/06/2016 12:00:00 AM,BAHAY KUBO RESTAURANT,92,A,1,ROUTINE INSPECTION,EE0001006,2330 W TEMPLE ST,LOS ANGELES,FA0007794,CA,90026,OW0003706,BAHAN KUBO RESTAURANT INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,BAHAY JUBO RESTAURANT,ACTIVE,PR0042294,['Filipino'],False,34.0712199,-118.27164,$,3.5,187,jsBYgXptlSR7L6yT-PWNyA
281,DAQ57CB0K,01/06/2016 12:00:00 AM,EL POLLO LOCO,96,A,1,ROUTINE INSPECTION,EE0001006,330 N ALVARADO ST,LOS ANGELES,FA0012496,CA,90026,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,EL POLLO LOCO,ACTIVE,PR0015865,"['Fast Food', 'Mexican']",False,34.0698928833008,-118.267913818359,$,2.0,82,8SeY_Qnzuk1phcnqHGl1gA
282,DAQ57CB0K,01/06/2016 12:00:00 AM,EL POLLO LOCO,96,A,1,ROUTINE INSPECTION,EE0001006,330 N ALVARADO ST,LOS ANGELES,FA0012496,CA,90026,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,EL POLLO LOCO,ACTIVE,PR0015865,"['Fast Food', 'Mexican']",False,34.0698928833008,-118.267913818359,$,2.0,82,8SeY_Qnzuk1phcnqHGl1gA
283,DAPEYBOSE,09/25/2015 12:00:00 AM,EL POLLO LOCO,98,A,1,ROUTINE INSPECTION,EE0000718,330 N ALVARADO ST,LOS ANGELES,FA0012496,CA,90026,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,EL POLLO LOCO,ACTIVE,PR0015865,"['Fast Food', 'Mexican']",False,34.0698928833008,-118.267913818359,$,2.0,82,8SeY_Qnzuk1phcnqHGl1gA
284,DAPEYBOSE,09/25/2015 12:00:00 AM,EL POLLO LOCO,98,A,1,ROUTINE INSPECTION,EE0000718,330 N ALVARADO ST,LOS ANGELES,FA0012496,CA,90026,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,EL POLLO LOCO,ACTIVE,PR0015865,"['Fast Food', 'Mexican']",False,34.0698928833008,-118.267913818359,$,2.0,82,8SeY_Qnzuk1phcnqHGl1gA
285,DAGTG8AAO,01/05/2016 12:00:00 AM,MAGEE'S KITCHEN,93,A,1,ROUTINE INSPECTION,EE0000468,6333 3RD ST,LOS ANGELES,FA0001320,CA,90036,OW0022850,"MAGEE,S B AND P H ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,MAGEE'S KITCHEN,ACTIVE,PR0004406,"['Specialty Food', 'Delis']",False,34.072106821235,-118.360535515034,$$,3.5,144,tSYjARmVI_Q5zLUT-Uf05Q
