,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAEV070BY,10/5/2016 0:00,HOT WINGS,92,A,1,ROUTINE INSPECTION,EE0000951,7011 MELROSE AVE,LOS ANGELES,FA0029453,CA,90038,OW0024154,MELROSE RESTAURANT INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,HOT WINGS,ACTIVE,PR0007215,['Chicken Wings'],FALSE,34.0835736,-118.3431347,$$,4,724,YBoP0kV88mcf5kQN0z5aFw
1,DAZY8U86A,10/5/2016 0:00,MI CASITA,94,A,1,ROUTINE INSPECTION,EE0001026,418 E VERNON AVE,LOS ANGELES,FA0024699,CA,90011,OW0030646,ROMERO AURORA H,RESTAURANT (0-30) SEATS HIGH RISK,1632,MI CASITA,ACTIVE,PR0016717,"['Mexican', 'Fast Food']",FALSE,34.00381275,-118.2688951,$,4.5,14,XCzoClutquFNj7cPKBWzwQ
2,DATHCDMLD,10/5/2016 0:00,FIRST SZECHWAN WOK,90,A,1,ROUTINE INSPECTION,EE0000911,10855 LINDBROOK DR,LOS ANGELES,FA0013677,CA,90024,OW0023973,"MCKINN, ANDREW OCHOA",RESTAURANT (31-60) SEATS HIGH RISK,1635,FIRST SZECHWAN WOK,ACTIVE,PR0036126,['Chinese'],FALSE,34.0602092,-118.4429637,$$,3,167,g4GftV6mzdTXXYr0S9egnQ
3,DARKZW0HZ,10/5/2016 0:00,POKE BY HAWAII,95,A,1,ROUTINE INSPECTION,EE0000594,2516 S FIGUEROA ST,LOS ANGELES,FA0240162,CA,90007,OW0236314,WELLDON GROUP LLC.,RESTAURANT (31-60) SEATS MODERATE RISK,1634,POKE BY HAWAII,ACTIVE,PR0188169,['Poke'],FALSE,34.02844426,-118.2757778,$$,4,160,2gd5V6LoCdMbULUOVf_YgQ
4,DAALVYUBT,10/5/2016 0:00,SNOW WHITE CAFE,91,A,1,ROUTINE INSPECTION,EE0000822,6769 HOLLYWOOD BLVD,LOS ANGELES,FA0048093,CA,90028,OW0018498,KARINE INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,SNOW WHITE CAFE,ACTIVE,PR0004522,"['Bars', 'American (Traditional)']",FALSE,34.10170401,-118.3382049,$,3.5,168,qXKAVGYopXXTShg3fVU7Ng
5,DAJADRMTY,10/5/2016 0:00,OUTPOST RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000709,1624 N CAHUENGA BLVD,LOS ANGELES,FA0027302,CA,90028,OW0027047,OUTPOST RESTAURANT LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,OUTPOST RESTAURANT,ACTIVE,PR0048011,"['Sports Bars', 'American (Traditional)']",TRUE,34.1006704,-118.3293614,$$,3.5,161,BPcPi4hCxsrQrdHlTst6vw
6,DAM60DWX5,10/5/2016 0:00,SUPER DONUTS,94,A,1,ROUTINE INSPECTION,EE0000707,4162 S BROADWAY,LOS ANGELES,FA0035460,CA,90037,OW0033550,SONGKHENG SANG,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUPER DONUTS,ACTIVE,PR0040655,['Donuts'],FALSE,34.0077128,-118.2782351,blank,5,1,bDAG1K4mjjhtZlX-mpKxPw
7,DARWSMNHQ,10/5/2016 0:00,KOREAN GARDENS RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000884,950 S VERMONT AVE,LOS ANGELES,FA0002200,CA,90006,OW0019895,KOREAN GARDENS RESTAURANT,RESTAURANT (61-150) SEATS HIGH RISK,1638,KOREAN GARDENS RESTAURANT,ACTIVE,PR0004821,['Korean'],FALSE,34.0539093,-118.2912521,$$$,3.5,206,t_kPmPwdYNFMUdIMahEUaw
8,DASR70HB1,10/5/2016 0:00,STAPLES CENTER (LEVY),97,A,1,ROUTINE INSPECTION,EE0000633,1111 S FIGUEROA ST,LOS ANGELES,FA0006427,CA,90015,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,EVENT LEVEL PANTRY,ACTIVE,PR0034000,['Lounges'],FALSE,34.043557,-118.267182,$$$,4,14,dZ3WHfI-G7cwEFxmJYubFw
9,DASR70HB1,10/5/2016 0:00,STAPLES CENTER (LEVY),97,A,1,ROUTINE INSPECTION,EE0000633,1111 S FIGUEROA ST,LOS ANGELES,FA0006427,CA,90015,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,EVENT LEVEL PANTRY,ACTIVE,PR0034000,['Buffets'],FALSE,34.04312,-118.26711,$$$,3.5,54,bca-lzs94t00fk4Wmo3TDg
