,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DA0J3QV40,08/15/2016 12:00:00 AM,BAK KUNG KOREAN BBQ 2,90,A,1,ROUTINE INSPECTION,EE0001003,233 S VERMONT AVE,LOS ANGELES,FA0166078,CA,90004,OW0039131,"WON HUA, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,BAK KUNG KOREAN BBQ 2,ACTIVE,PR0156328,"['Barbeque', 'Korean']",False,34.0694896,-118.2919371,$$,4.0,194,H_Q31u74WCLaEX3rVqpx-Q
1,DA5EMTZ4U,08/15/2016 12:00:00 AM,LEGEND NOODLE & GRILL,93,A,1,ROUTINE INSPECTION,EE0001003,209 S VERMONT AVE,LOS ANGELES,FA0035960,CA,90004,OW0021484,LEGEND NOODLE & GRILL,RESTAURANT (31-60) SEATS HIGH RISK,1635,LEGEND NOODLE & GRILL,INACTIVE,PR0047579,"['Vietnamese', 'Noodles']",True,34.0699979,-118.2918276,$,3.5,481,UF5R6WX7bIIJGBDfN8hCzQ
2,DAMVZZ7C0,08/15/2016 12:00:00 AM,LOS GIRASOLES MEXICAN GRILL,90,A,1,ROUTINE INSPECTION,EE0000176,2851 CRENSHAW BLVD,LOS ANGELES,FA0225836,CA,90016,OW0230057,MARIA CONSEPCION PEREZ-GARCIA,RESTAURANT (0-30) SEATS HIGH RISK,1632,LOS GIRASOLES MEXICAN GRILL,INACTIVE,PR0181157,"['Mexican', 'Breakfast & Brunch']",True,34.0297529321833,-118.335160498867,$,4.5,34,Q0TXWEnW0DKjetlmS_pdLg
3,DA4F1QGI0,08/15/2016 12:00:00 AM,PAPA JOHN'S PIZZA,93,A,1,ROUTINE INSPECTION,EE0000893,720 N VERMONT AVE,LOS ANGELES,FA0068305,CA,90029,OW0028671,"PJ MANAGEMENT, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,PAPA JOHN'S PIZZA,INACTIVE,PR0010277,['Pizza'],False,34.0843391418457,-118.29141998291,$$,2.0,85,01Fa9aAx_MGFediLmz2hZg
4,DA6ZGNHC0,08/12/2016 12:00:00 AM,PACE,94,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000822,2100 LAUREL CANYON BLVD,LOS ANGELES,FA0043420,CA,90046,OW0031645,SANDRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,PACE,ACTIVE,PR0003721,"['Italian', 'Desserts', 'Wine Bars']",False,34.10906,-118.3697,$$$,4.0,797,LlaXbuPQBsRXjZFEx5Wkjw
5,DADJBNMTK,07/28/2016 12:00:00 AM,PACE,82,B,1,ROUTINE INSPECTION,EE0000822,2100 LAUREL CANYON BLVD,LOS ANGELES,FA0043420,CA,90046,OW0031645,SANDRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,PACE,ACTIVE,PR0003721,"['Italian', 'Desserts', 'Wine Bars']",False,34.10906,-118.3697,$$$,4.0,797,LlaXbuPQBsRXjZFEx5Wkjw
6,DAHRAXWWF,08/12/2016 12:00:00 AM,TAJ TANDOORI LA,96,A,1,ROUTINE INSPECTION,EE0000015,10823 VENICE BLVD,LOS ANGELES,FA0225821,CA,90034,OW0230042,TAJ TANDOORI INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,TAJ TANDOORI LA,INACTIVE,PR0181144,"['Indian', 'Halal', 'Pakistani']",True,34.0174212,-118.4097005,$$,4.0,73,4mR_mImFJ8m2sjPD84TXMQ
7,DA9O0FA9N,08/12/2016 12:00:00 AM,YUM YUM DONUTS FRANCHISE #19,91,A,1,ROUTINE INSPECTION,EE0000709,724 N HIGHLAND AVE,LOS ANGELES,FA0041896,CA,90038,OW0033430,"SOLARES, HENRY Q. MELGAR",RESTAURANT (0-30) SEATS MODERATE RISK,1631,YUM YUM DONUTS FRANCHISE #19,ACTIVE,PR0007115,['Donuts'],False,34.0841789245605,-118.338233947754,$,3.5,12,6cXIQA0RlvUuA8hU8qKpEw
8,DAYSFZC8Y,08/12/2016 12:00:00 AM,TOFU-YA,95,A,1,ROUTINE INSPECTION,EE0000684,2021 SAWTELLE BLVD,LOS ANGELES,FA0072661,CA,90025,OW0012078,"FOFU-YA, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,TOFU-YA,INACTIVE,PR0026415,['Korean'],False,34.04016,-118.44338,$$,3.5,1030,cJQfLysSaYhvv3yueXdqGQ
9,DA0YGUNDR,08/02/2016 12:00:00 AM,TOFU-YA,86,B,1,ROUTINE INSPECTION,EE0000684,2021 SAWTELLE BLVD,LOS ANGELES,FA0072661,CA,90025,OW0012078,"FOFU-YA, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,TOFU-YA,INACTIVE,PR0026415,['Korean'],False,34.04016,-118.44338,$$,3.5,1030,cJQfLysSaYhvv3yueXdqGQ
