,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,DAPDUDULO,11/17/2015 12:00:00 AM,NAKKARA ON BEVERLY,91,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000726,7669 BEVERLY BLVD,LOS ANGELES,FA0025994,CA,90036,OW0025555,NAKKARA LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,NAKKARA ON BEVERLY,ACTIVE,PR0030608,"['Thai', 'Asian Fusion']",True,34.0762619,-118.3570798,$$,3.5,270,m3xOrOOqdsvE9ygMyHSpZQ
1,DAPDUDULO,11/17/2015 12:00:00 AM,NAKKARA ON BEVERLY,91,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000726,7669 BEVERLY BLVD,LOS ANGELES,FA0025994,CA,90036,OW0025555,NAKKARA LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,NAKKARA ON BEVERLY,ACTIVE,PR0030608,"['Thai', 'Asian Fusion']",True,34.0762619,-118.3570798,$$,3.5,270,m3xOrOOqdsvE9ygMyHSpZQ
2,DA6GMZWE0,11/06/2015 12:00:00 AM,NAKKARA ON BEVERLY,81,B,1,ROUTINE INSPECTION,EE0000726,7669 BEVERLY BLVD,LOS ANGELES,FA0025994,CA,90036,OW0025555,NAKKARA LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,NAKKARA ON BEVERLY,ACTIVE,PR0030608,"['Thai', 'Asian Fusion']",True,34.0762619,-118.3570798,$$,3.5,270,m3xOrOOqdsvE9ygMyHSpZQ
3,DA6GMZWE0,11/06/2015 12:00:00 AM,NAKKARA ON BEVERLY,81,B,1,ROUTINE INSPECTION,EE0000726,7669 BEVERLY BLVD,LOS ANGELES,FA0025994,CA,90036,OW0025555,NAKKARA LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,NAKKARA ON BEVERLY,ACTIVE,PR0030608,"['Thai', 'Asian Fusion']",True,34.0762619,-118.3570798,$$,3.5,270,m3xOrOOqdsvE9ygMyHSpZQ
4,DATA6A0QP,11/17/2015 12:00:00 AM,YUM YUM DONUTS,92,A,1,ROUTINE INSPECTION,EE0000950,6600 E OLYMPIC BLVD STE #106,LOS ANGELES,FA0055785,CA,90022,OW0002038,"ALCARAZ, MARIA CERULLI",RESTAURANT (0-30) SEATS MODERATE RISK,1631,YUM YUM DONUTS,INACTIVE,PR0047011,"['Donuts', 'Coffee & Tea']",False,34.0113182,-118.1306458,$,3.5,24,x0brWIP6TsqeT80ERX_mHQ
5,DAZHKLYU0,11/17/2015 12:00:00 AM,8XPRESS CHICKEN,92,A,1,ROUTINE INSPECTION,EE0000946,2748 W 8TH ST #104 -107,LOS ANGELES,FA0175744,CA,90005,OW0182241,"8TH AND HOOVER EB5 ,LP",RESTAURANT (61-150) SEATS HIGH RISK,1638,8XPRESS CHICKEN,ACTIVE,PR0168948,['Asian Fusion'],False,34.05745,-118.28575,$,4.5,20,FiaxMIlD6E4aufJAX1sweA
6,DAV2B573B,11/17/2015 12:00:00 AM,ROBATA JINYA,90,A,1,ROUTINE INSPECTION,EE0000468,08050 W 3RD ST,LOS ANGELES,FA0069632,CA,90048,OW0020293,LA BREA DINING CALIFORNIA IN,RESTAURANT (61-150) SEATS HIGH RISK,1638,ROBATA JINYA,ACTIVE,PR0039946,['Izakaya'],False,34.07181,-118.3655,$$,4.0,935,dh_xOxlwzYeCIWHhrG8Yrw
7,DAKHLRLVQ,11/17/2015 12:00:00 AM,PIZZA HUT #26209,92,A,1,ROUTINE INSPECTION,EE0000904,4629 SANTA MONICA BLVD # 52,LOS ANGELES,FA0044779,CA,90029,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PIZZA HUT #026209,ACTIVE,PR0002387,"['Pizza', 'Italian', 'Chicken Wings']",False,34.091332743808,-118.290326537897,$$,1.5,42,txqZzLj3yw4scsdVMFEWkA
8,DATKNS0MU,11/17/2015 12:00:00 AM,BURGER LOUNGE,95,A,1,ROUTINE INSPECTION,EE0000727,11740 SAN VINCENTE BLVD #102,LOS ANGELES,FA0137756,CA,90049,OW0181018,BURGER LOUNGE III LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,BURGER LOUNGE,ACTIVE,PR0121883,['Burgers'],False,34.05287,-118.46695,$$,4.0,355,zKnkaViDqtoN1uZ_rUVy8A
9,DA0BUHT8N,11/17/2015 12:00:00 AM,HUNAN CAFE,91,A,1,ROUTINE INSPECTION,EE0000838,7986 W SUNSET BLVD,LOS ANGELES,FA0017697,CA,90046,OW0039602,YEN CHING MING,RESTAURANT (0-30) SEATS HIGH RISK,1632,HUNAN CAFE,ACTIVE,PR0037818,['Chinese'],False,34.0979981,-118.3642362,$$,3.5,186,qqSsylr1Q1TXbf8uPK0EEA
