,index,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
90,545,DAJ53SUAR,05/04/2016 12:00:00 AM,ONO HAWAIIAN BBQ,98,A,1,ROUTINE INSPECTION,EE0000857,5539 W SUNSET BLVD,LOS ANGELES,FA0042611,CA,90028,OW0015833,"HOLLYWOOD SUNSET, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,ONO HAWAIIAN BBQ,ACTIVE,PR0006530,"['Hawaiian', 'Barbeque']",False,34.09839,-118.31061,$,3.0,126,9H1Gy6hOZwgsyC5fpx9pjQ
91,546,DAV9IQXDR,05/04/2016 12:00:00 AM,LA ESPECIAL,95,A,1,ROUTINE INSPECTION,EE0000923,700 CYPRESS AVE,LOS ANGELES,FA0033203,CA,90065,OW0033451,"SOLIS,ANGELA O DBA",RESTAURANT (0-30) SEATS HIGH RISK,1632,LA ESPECIAL,ACTIVE,PR0023031,['Mexican'],False,34.09095,-118.22377,$,4.0,10,W6LQw9KQILY5UcnJf-quKg
92,547,DA9ORHZ7U,05/04/2016 12:00:00 AM,PIZZA HUT #26200,96,A,1,ROUTINE INSPECTION,EE0000923,4329 N FIGUEROA ST,LOS ANGELES,FA0068766,CA,90065,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PIZZA HUT #026200,ACTIVE,PR0029267,"['Pizza', 'Italian', 'Chicken Wings']",False,34.0950633,-118.2082385,$$,2.0,47,lXbJ3_haeRGT-B8vyaghiQ
93,549,DAG51NFOM,05/04/2016 12:00:00 AM,THE MORRISON,94,A,1,ROUTINE INSPECTION,EE0000697,3179 LOS FELIZ BLVD,LOS ANGELES,FA0136945,CA,90039,OW0099721,"3179 LOS FELIZ PARTNERS, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE MORRISON,ACTIVE,PR0120944,"['Gastropubs', 'Burgers', 'Bars']",False,34.12384,-118.26868,$$,4.5,3666,DJek3FUewBzMc0gS-Gms9w
94,550,DA6HPCCAU,05/04/2016 12:00:00 AM,MINORI RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000059,1170 S ROBERTSON BLVD,LOS ANGELES,FA0172187,CA,90035,OW0179227,"KLEE & K, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,MINORI RESTAURANT,ACTIVE,PR0164709,"['Sushi Bars', 'Japanese']",False,34.0552801,-118.3835753,$$,4.0,207,G6JndmQiVPfsK4MX9DMN7Q
95,551,DAI20D2CK,05/04/2016 12:00:00 AM,CHIPOTLE MEXICAN GRILL,90,A,1,ROUTINE INSPECTION,EE0000951,7101 MELROSE AVE,LOS ANGELES,FA0015038,CA,90046,OW0007608,"CHIPOTLE MEXICAN GRILL, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,CHIPOTLE,ACTIVE,PR0038275,"['Mexican', 'Fast Food']",False,34.083618,-118.344377,$,2.5,130,p50NSydy3bB4PKQXCcXonA
96,555,DAANQVJDS,05/04/2016 12:00:00 AM,L KITCHEN,80,B,1,ROUTINE INSPECTION,EE0000911,952 GAYLEY AVE,LOS ANGELES,FA0174142,CA,90024,OW0180847,"FIVE TIGERS, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,L KITCHEN,ACTIVE,PR0167011,['Chinese'],False,34.0626255422831,-118.448239043355,$,3.5,24,shJa1S3mXBpmS87YfzOrhg
97,556,DAOPRPPGG,05/04/2016 12:00:00 AM,CINCO,81,B,1,ROUTINE INSPECTION,EE0000955,7241 W MANCHESTER AVE,LOS ANGELES,FA0059857,CA,90045,OW0014138,GREYLIGHT LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,CINCO,ACTIVE,PR0000085,"['Mexican', 'Bars']",False,33.960296,-118.42056,$$,3.5,480,wZO-ALpCQSVPpsMxPMK_Cg
98,557,DAEXDXCSY,05/04/2016 12:00:00 AM,DELPHI GREEK,97,A,1,ROUTINE INSPECTION,EE0000684,1383 WESTWOOD BLVD,LOS ANGELES,FA0010950,CA,90024,OW0031044,RUZBEHJON INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,DELPHI GREEK,ACTIVE,PR0044888,"['Greek', 'Mediterranean', 'Cocktail Bars']",False,34.055404067201,-118.442059967459,$$,3.0,301,0SIgsk8eoMP0txb-hKcK_A
99,558,DARY3LGHR,05/04/2016 12:00:00 AM,AVENUE 2 GRILL,90,A,1,ROUTINE INSPECTION,EE0000531,3456 WILSHIRE BLVD,LOS ANGELES,FA0202553,CA,90010,OW0207889,MOGLAII CORP,RESTAURANT (0-30) SEATS HIGH RISK,1632,AVENUE 2 GRILL,INACTIVE,PR0174806,"['American (Traditional)', 'Mexican', 'Halal']",True,34.0617267,-118.2995737,$,3.0,100,8qRl-OvWf-wWEuDiAHlKjw
