,index,serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,food_type,in_business,latitude,longitude,price,rating,review_count,yelp_id
0,750,DAYZCIPSG,04/28/2016 12:00:00 AM,BROWNSTONE BISTRO,90,A,1,ROUTINE INSPECTION,EE0000871,5047 W PICO BLVD,LOS ANGELES,FA0138744,CA,90019,OW0102058,CLIVE ANTHONY JACKSON,RESTAURANT (61-150) SEATS HIGH RISK,1638,BROWNSTONE BISTRO,ACTIVE,PR0123106,"['American (New)', 'Bars', 'Desserts']",False,34.04815,-118.34752,$$,4.0,212,HuCmNHfsz_VDfY7qraQ_Bg
1,752,DAO7RXM0M,04/28/2016 12:00:00 AM,SANTA ROSA PUPUSERIA Y RESTAURANTE,95,A,1,ROUTINE INSPECTION,EE0000874,4307 S VERMONT AVE,LOS ANGELES,FA0180533,CA,90037,OW0185893,ERICK BALMORE MEJIA,RESTAURANT (0-30) SEATS HIGH RISK,1632,SANTA ROSA PUPUSERIA Y RESTAURANTE,ACTIVE,PR0174312,['Salvadoran'],False,34.0049802212566,-118.292229361832,blank,5.0,1,7xddvmbXzsoWBEtbO_l3ZA
2,753,DAAOWVZV9,04/28/2016 12:00:00 AM,ABC COMMISSARY,97,A,1,ROUTINE INSPECTION,EE0000495,4151 PROSPECT AVE,LOS ANGELES,FA0143119,CA,90027-4524,OW0104260,BON APPETIT MANAGEMENT CO.,RESTAURANT (61-150) SEATS HIGH RISK,1638,ABC COMMISSARY,ACTIVE,PR0128407,['Television Stations'],False,34.10287,-118.28092,blank,2.0,5,VGEmJz9rbEu2IgopAvvjtA
3,757,DAQM6CYTF,04/28/2016 12:00:00 AM,SUBWAY SANDWICHES,96,A,1,ROUTINE INSPECTION,EE0000015,10401 VENICE BLVD STE #102,LOS ANGELES,FA0071285,CA,90034,OW0031108,S&R SUBWAY INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY SANDWICHES,ACTIVE,PR0032335,"['Sandwiches', 'Fast Food']",False,34.020435,-118.404723,$,2.0,23,bMj-2vZKEtnqKR23pAgzyA
4,758,DAQP01NF2,04/28/2016 12:00:00 AM,RUDY'S BAKERY,94,A,1,ROUTINE INSPECTION,EE0000691,1918 E NADEAU ST,LOS ANGELES,FA0167667,CA,90001,OW0130647,RODOLFO C. LOPEZ,RESTAURANT (0-30) SEATS MODERATE RISK,1631,RUDY'S BAKERY,ACTIVE,PR0158047,['Bakeries'],False,33.9671516418457,-118.238296508789,blank,5.0,2,8tb3AY5sl6Oa4jSQHFRkSQ
5,759,DAEBY4SS1,04/28/2016 12:00:00 AM,BIONICOS-RASPADOS EL MACHIN,90,A,1,ROUTINE INSPECTION,EE0001049,4514 E WHITTIER BLVD,LOS ANGELES,FA0058407,CA,90022,OW0009957,"DIAZ ALVAREZ, CRISTINA",RESTAURANT (0-30) SEATS HIGH RISK,1632,BIONICOS-RASPADOS EL MACHIN,ACTIVE,PR0040879,['Juice Bars & Smoothies'],False,34.02291,-118.17066,$,4.0,31,ETndI388uU2Kf2Aglavuug
6,760,DANH3R0IA,04/28/2016 12:00:00 AM,CANDELA TACO BAR,99,A,1,ROUTINE INSPECTION,EE0000853,831 S LA BREA AVE,LOS ANGELES,FA0035988,CA,90036,OW0021556,LEONARDO'S NIGHTCLUB INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,CANDELA TACO BAR,ACTIVE,PR0022190,"['Mexican', 'Lounges', 'Venues & Event Spaces']",False,34.0596284,-118.3451919,$$,4.0,564,zpCjv61s-5b-WJSd8opFvA
7,761,DACHBXXGI,04/28/2016 12:00:00 AM,"SIZZLER USA RESTAURANT, INC.",95,A,1,ROUTINE INSPECTION,EE0000946,400 S VERMONT AVE,LOS ANGELES,FA0047914,CA,90005,OW0033142,SIZZLER USA RESTAURANTS INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,"SIZZLER USA RESTAURANT, INC.",ACTIVE,PR0042953,"['Seafood', 'Steakhouses', 'Salad']",False,34.066853,-118.291214,$$,3.5,172,-JDH8dBtqgif-v93lsZtZQ
8,762,DALOIVRHQ,04/28/2016 12:00:00 AM,ABBY'S DINER,96,A,1,ROUTINE INSPECTION,EE0000746,4862 EAGLE ROCK BLVD,LOS ANGELES,FA0004390,CA,90041,OW0002784,ANONG ANUTIN,RESTAURANT (0-30) SEATS HIGH RISK,1632,ABBY'S DINER,ACTIVE,PR0014540,"['American (Traditional)', 'Breakfast & Brunch', 'Salad']",False,34.134298,-118.215287,$,4.0,191,YeXmhnTnnabDjTZuPSfToQ
9,763,DAXO70FWQ,04/28/2016 12:00:00 AM,EINSTEIN BROS. BAGELS #3614,94,A,1,ROUTINE INSPECTION,EE0000924,10759 PICO BLVD,LOS ANGELES,FA0138441,CA,90064,OW0010776,EINSTEIN AND NOAH CORP,RESTAURANT (61-150) SEATS MODERATE RISK,1637,EINSTEIN BROS BAGELS,ACTIVE,PR0122760,"['Bagels', 'Coffee & Tea']",False,34.041212,-118.4265196,$,3.0,130,btkCHapgD0grbL1FPk_bMA
10,764,DA2E6NV0G,04/28/2016 12:00:00 AM,EL POLLO LOCO,97,A,1,ROUTINE INSPECTION,EE0000857,5319 W SUNSET BLVD,LOS ANGELES,FA0021238,CA,90027,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL POLLO LOCO,ACTIVE,PR0028596,"['Fast Food', 'Mexican']",False,34.0983728375248,-118.306780030964,$,2.0,65,wOpdFltHemP5tCAEx6l4kg
11,766,DA0XTRTFR,04/28/2016 12:00:00 AM,L A FRESH POULTRY,85,B,1,ROUTINE INSPECTION,EE0000117,121 N VIRGIL AVE,LOS ANGELES,FA0142032,CA,90004-4811,OW0105212,"ELHAWARY, ABDEL S",RESTAURANT (0-30) SEATS HIGH RISK,1632,L A FRESH POULTRY,ACTIVE,PR0128436,"['Halal', 'Butcher', 'Meat Shops']",False,34.0742521,-118.2869435,$,4.0,30,J08RCZNqDrbpFyLxIgIYGQ
12,767,DAXWICU0F,04/28/2016 12:00:00 AM,THE REDWOOD BAR & GRILL,92,A,1,ROUTINE INSPECTION,EE0000721,316 W 2ND ST,LOS ANGELES,FA0037569,CA,90012,OW0035847,THIRSTY POCKETS LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,THE REDWOOD BAR & GRILL,ACTIVE,PR0036512,"['Pubs', 'American (Traditional)']",False,34.0526,-118.24747,$$,3.5,610,blQ_tkX_WFeyj34lVvwEEQ
