,facility_id,latitude,longitude,rating,score,clean_zip
18757,FA0008229,33.945445194840396,-118.292085528374,3.5,93,90044
18758,FA0222596,34.075759999999995,-118.37396,3.5,90,90048
18759,FA0026903,34.0535438812591,-118.27540218830099,4.0,90,90057
18760,FA0026903,34.05344,-118.27544,2.0,90,90057
18761,FA0026903,34.05344,-118.27544,1.5,90,90057
18762,FA0071192,34.0535438812591,-118.27540218830099,4.0,96,90057
18763,FA0071192,34.05344,-118.27544,2.0,96,90057
18764,FA0071192,34.05344,-118.27544,1.5,96,90057
18765,FA0011216,34.0535438812591,-118.27540218830099,4.0,98,90057
18766,FA0011216,34.05344,-118.27544,2.0,98,90057
18767,FA0011216,34.05344,-118.27544,1.5,98,90057
18768,FA0177851,34.0833651,-118.3242882,4.5,99,90038
18769,FA0061302,34.049139000000004,-118.4356699,4.0,93,90025
18770,FA0036323,33.944812774658196,-118.28296661377001,2.5,94,90003
18771,FA0036645,34.06273,-118.30946000000002,3.0,90,90005
18772,FA0065170,34.1086197951497,-118.19448965618,3.5,92,90042
18773,FA0023314,34.1086006164551,-118.19403076171899,4.0,90,90042
18774,FA0164395,34.0476390576719,-118.247747561303,4.5,98,90013
18775,FA0159776,34.0176299,-118.14263,4.5,90,90022
18776,FA0177700,34.0834154,-118.32510829999998,4.0,94,90038
18777,FA0033302,33.98863720000001,-118.354468,4.0,91,90043
18778,FA0028769,34.05828,-118.36252,3.5,83,90036
18779,FA0164018,34.0618949,-118.2958451,4.0,95,90010
18780,FA0063875,34.072599,-118.344257,4.0,93,90036
18781,FA0064851,34.0734367799655,-118.211486067367,3.0,97,90031
18782,FA0222138,34.057683630302805,-118.419441961644,3.5,94,90067
18783,FA0071705,34.04058,-118.25538,4.0,97,90015
18784,FA0024221,34.06621,-118.23803999999998,3.5,91,90012
18785,FA0006321,34.0576522926757,-118.41860980767599,3.5,97,90067
18786,FA0172188,34.0490039,-118.4359361,3.5,90,90025
18787,FA0042262,34.047639600000004,-118.4346712,4.0,90,90025
18788,FA0004671,34.00574,-118.33183,4.0,92,90008
18789,FA0010827,33.93065,-118.31016,2.0,94,90047
18790,FA0029949,34.025290000000005,-118.22012,1.5,95,90023
18791,FA0064567,34.018122330307996,-118.308972045779,4.5,95,90018
18792,FA0059688,34.0575951,-118.3004581,3.0,91,90005
18793,FA0170464,34.0556347,-118.27464779999998,3.0,80,90057
18794,FA0064476,34.06308370000001,-118.4471749,3.0,91,90024
18795,FA0065158,34.01907,-118.17103,3.5,90,90022
18796,FA0040224,34.0575943,-118.2995682,2.0,93,90005
18797,FA0061710,34.012618437409394,-118.308974057436,3.5,92,90062
18798,FA0068599,34.0054299,-118.33015,4.0,97,90008
18799,FA0165020,34.05789,-118.3602,4.5,95,90036
18800,FA0067406,34.0603866256743,-118.44353159259,3.5,94,90024
18801,FA0067406,34.0603866256743,-118.44353159259,3.5,94,90024
18802,FA0067406,34.0603866256743,-118.44353159259,3.5,82,90024
18803,FA0067406,34.0603866256743,-118.44353159259,3.5,82,90024
18804,FA0051175,34.017990000000005,-118.30854,3.5,91,90018
18805,FA0013900,34.0769992,-118.2582601,4.5,98,90026
18806,FA0177704,34.046991,-118.246911,1.5,98,90013
18807,FA0017352,34.062736511230504,-118.309471130371,3.5,95,90005
18808,FA0179903,33.993167,-118.264801,2.5,90,90011
18809,FA0020817,34.053304600000004,-118.2747101,4.0,96,90057
18810,FA0015988,34.0906948596239,-118.325366377831,4.0,90,90038
18811,FA0027255,34.0631440907026,-118.447216960192,2.5,84,90024
18812,FA0177098,34.048359999999995,-118.248366,4.0,96,90013
18813,FA0050228,34.098279999999995,-118.35224,3.5,93,90046
18814,FA0050228,34.098279999999995,-118.35224,3.5,93,90046
18815,FA0050228,34.098279999999995,-118.35224,3.5,85,90046
18816,FA0050228,34.098279999999995,-118.35224,3.5,85,90046
18817,FA0137785,34.0627289,-118.3094635,3.5,92,90010
18818,FA0165171,34.062003999999995,-118.293942,4.0,96,90010
18819,FA0138561,34.0620954511484,-118.291388595285,2.0,98,90010
18820,FA0138208,34.0113868713379,-118.309410095215,4.0,91,90062
18821,FA0065466,34.010242100000006,-118.3090649,4.5,94,90062
18822,FA0177407,34.069310107779195,-118.29491995274999,1.0,94,90020
