clean_zip,latitude,longitude,rating,score
90001,33.97427959242095,-118.24970105332123,3.326530612244898,93.94897959183673
90002,33.9557627515679,-118.26204199114729,3.46875,94.1875
90003,33.969123209192205,-118.27352822862011,3.302919708029197,91.86131386861314
90004,34.07517608053945,-118.30511923022902,3.7356770833333335,92.44270833333333
90005,34.05898380995173,-118.30057113055307,3.668903803131991,90.31319910514542
90006,34.05036664852326,-118.29778283807532,3.698717948717949,91.95787545787546
90007,34.0270171539162,-118.28393154383669,3.4925595238095237,94.27083333333333
90008,34.0095270218479,-118.33385070591886,3.3529411764705883,93.76470588235294
90010,34.06156878224345,-118.3029187112129,3.56158357771261,91.7800586510264
90011,34.01128893139263,-118.26114299329538,3.67027027027027,92.82702702702703
90012,34.05730310207191,-118.24189620846411,3.5943775100401605,93.09638554216868
90013,34.047535954862994,-118.245637252235,3.863157894736842,94.66315789473684
90014,34.04435144745841,-118.25302503563697,3.841509433962264,93.86792452830188
90015,34.041420960758416,-118.263524791458,3.6286201022146507,93.69676320272572
90016,34.02553282126206,-118.35065377719341,3.1559139784946235,93.14516129032258
90017,34.05122752694292,-118.26241783424688,3.6367924528301887,93.10691823899371
90018,34.02899184592419,-118.31465040165658,3.6417910447761193,92.61940298507463
90019,34.049632284005575,-118.33720639978681,3.6579754601226995,92.07055214723927
90020,34.06551269392232,-118.30037920099315,3.7338403041825097,90.5342205323194
90021,34.032532118571766,-118.24390474945145,3.8951612903225805,94.04838709677419
90022,34.02459380187248,-118.15781971129246,3.6021798365122617,91.90190735694823
90023,34.026123018546016,-118.2046761262288,3.589108910891089,93.05445544554455
90024,34.06003760799221,-118.44279585184123,3.5562770562770565,91.9069264069264
90025,34.04446133661006,-118.45062134008053,3.6669658886894076,93.41831238779174
90026,34.079807188160395,-118.26618043460975,3.710467706013363,92.84187082405346
90027,34.105915063129316,-118.29223148121967,3.6660808435852372,93.06502636203867
90028,34.100598356032414,-118.33031379087014,3.550480769230769,93.421875
90029,34.08972513111709,-118.2942125326034,3.7056555269922877,92.4370179948586
90030,34.09068,-118.29354,3.5,92.5
90031,34.07262798630861,-118.21230736826797,3.638888888888889,93.56349206349206
90032,34.07747553279117,-118.17965820138058,3.5220125786163523,91.68553459119497
90033,34.04818205107327,-118.21060401795968,3.6643598615916955,92.26643598615917
90034,34.02742965200434,-118.404857859457,3.526978417266187,92.9136690647482
90035,34.05407079341672,-118.38364948825875,3.5425925925925927,91.85555555555555
90036,34.07082801321063,-118.35348371059274,3.596476510067114,93.00167785234899
90037,34.006129627110326,-118.2843139974976,3.3097826086956523,93.19565217391305
90038,34.08787109584875,-118.32798540052934,3.7591093117408905,93.39676113360323
90039,34.11535669140641,-118.26388427960407,3.663677130044843,92.84304932735427
90040,33.98910237548179,-118.14642667494076,3.3333333333333335,90.66666666666667
90041,34.13465313461958,-118.21495556643416,3.575174825174825,93.5944055944056
90042,34.11332330693612,-118.1939044087396,3.5845588235294117,92.625
90043,33.985321425469685,-118.33735745657991,3.25,93.25833333333334
90044,33.96539853641105,-118.2965213948959,3.4,92.11538461538461
90045,33.95339308043365,-118.39727020643458,2.866359447004608,93.37672811059907
90046,34.091710897626186,-118.35515073765795,3.7349081364829395,92.02099737532808
90047,33.96721150998692,-118.30869410366282,3.39453125,93.7578125
